player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
ALLISHA GRAY,DAL,15.0,15.0,16.9,23.9,17.9,16.4,19.0,13.4,13.5,17.9,20.4
KAYLA ALEXANDER,CHI,14.9,13.8,0.0,26.7,100,41.2,10.0,12.5,0.0,37.5,16.7
ALAINA COATES,ATL,14.9,14.8,0.0,27.6,46.7,39.0,2.8,14.1,20.5,41.1,25.6
ALYSHA CLARK,SEA,14.8,16.2,25.2,6.4,18.1,20.6,19.3,14.2,10.1,18.0,15.3
ANRIEL HOWARD,SEA,14.6,16.7,18.2,0.0,33.3,17.6,0.0,25.0,33.3,36.4,0.0
KARIMA CHRISTMAS-KELLY,MIN,14.4,14.6,29.7,18.5,8.3,10.0,14.3,18.2,16.7,23.5,21.9
KIM MESTDAGH,WAS,14.3,14.6,25.9,8.0,4.8,6.2,14.6,21.4,0.0,15.2,7.4
SANCHO LYTTLE,PHO,14.2,15.2,3.3,6.7,32.6,30.7,5.5,16.9,5.6,24.8,10.9
CAMILLE SMITH,PHO,14.1,14.3,9.1,14.2,28.4,21.2,13.3,16.9,18.5,29.0,12.8
TANISHA WRIGHT,NYL,14.1,12.6,13.4,11.0,15.2,16.3,40.9,24.6,21.4,21.4,11.7
BETNIJAH LANEY-HAMILTON,IND,13.8,14.2,18.2,9.2,17.4,19.5,15.9,16.4,6.4,15.2,16.4
SYDNEY COLSON,LVA,13.7,13.2,15.3,15.3,2.3,6.9,34.5,18.8,10.9,22.6,16.8
STEPHANIE MAVUNGA,IND,13.7,13.7,1.0,19.3,53.8,33.7,4.3,14.1,16.7,38.6,17.0
BRIANN JANUARY,PHO,13.7,13.1,19.2,11.7,4.3,6.2,28.6,19.9,17.1,19.3,19.4
MEGAN GUSTAFSON,DAL,13.6,13.9,7.1,24.4,35.1,31.2,7.4,11.4,23.5,24.1,18.3
SOPHIE CUNNINGHAM,PHO,13.5,13.2,21.1,18.0,10.5,15.8,15.3,14.5,14.3,30.8,18.1
MERCEDES RUSSELL,SEA,13.4,13.9,0.0,21.8,38.0,30.2,8.6,9.8,28.9,24.7,22.0
EPIPHANNY PRINCE,LVA,13.3,16.9,41.2,0.0,9.1,6.7,17.6,0.0,0.0,29.4,0.0
KATIE LOU SAMUELSON,CHI,13.2,14.3,35.8,17.7,10.5,12.7,9.7,9.1,14.3,21.1,22.8
AVERY WARLEY-TALBERT,NYL,13.2,9.1,0.0,14.3,50.0,35.0,0.0,33.3,37.5,50.0,16.7
NAYO RAINCOCK-EKUNWE,NYL,12.7,12.7,1.6,15.5,45.3,25.4,6.7,14.3,32.4,20.5,24.1
TIERRA RUFFIN-PRATT,LAS,12.4,13.1,15.9,13.5,11.1,11.4,14.4,10.0,10.5,23.0,18.8
JISU PARK,LVA,12.4,14.1,1.5,9.9,29.4,19.7,16.7,12.1,27.8,31.5,10.4
LATOYA SANDERS,WAS,12.3,12.6,0.0,10.5,29.1,27.9,15.1,13.4,15.7,25.9,16.1
ARICA CARTER,PHO,12.3,15.6,40.0,0.0,0.0,0.0,33.3,15.4,0.0,31.3,0.0
TAYLER HILL,DAL,12.3,14.9,25.0,50.0,13.3,11.1,13.6,0.0,8.3,15.4,10.0
BROOKE MCCARTY-WILLIAMS,DAL,11.9,12.3,20.0,7.0,8.8,12.3,34.6,16.6,7.1,19.4,20.3
VICTORIA MACAULAY,CHI,11.8,13.5,0.0,50.0,20.0,21.1,0.0,0.0,50.0,42.9,42.9
BRIANNA TURNER,PHO,11.7,12.3,0.0,10.4,50.0,31.1,6.8,12.4,25.6,23.7,12.9
MAITE CAZORLA,ATL,11.7,11.4,21.2,10.2,1.8,4.8,26.3,17.8,5.1,10.6,9.4
SYDNEY WIESE,LAS,11.6,12.5,27.6,3.8,3.8,7.7,18.4,14.0,13.0,9.6,3.5
ALANA BEARD,LAS,11.1,11.8,5.0,10.1,3.9,11.8,19.8,11.5,0.0,19.6,17.6
ERICA MCCALL,IND,11.1,12.1,0.0,17.0,36.7,28.1,15.0,7.1,50.0,22.4,13.6
SHEY PEDDY,WAS,10.9,10.7,14.3,26.1,8.3,14.5,20.5,11.5,14.3,21.6,17.4
KENISHA BELL,MIN,9.5,5.9,20.0,0.0,0.0,11.1,33.3,25.0,0.0,16.7,0.0
BLAKE DIETRICK,SEA,9.3,6.3,9.8,12.5,7.1,12.7,36.4,23.8,0.0,32.6,12.5
BRIDGET CARLETON,MIN,9.3,12.5,20.0,0.0,6.3,9.3,7.7,6.3,0.0,12.5,0.0
KARLIE SAMUELSON,DAL,7.4,9.9,26.7,0.0,5.6,6.6,12.5,0.0,25.0,17.8,6.1
COURTNEY PARIS,SEA,6.2,5.1,0.0,13.0,39.4,34.4,17.6,10.2,17.4,27.7,7.0
ANGEL MCCOUGHTRY,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAIME NARED,LVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
KENISHA BELL,MIN,9.5,5.9,20.0,0.0,0.0,11.1,33.3,25.0,0.0,16.7,0.0
BLAKE DIETRICK,SEA,9.3,6.3,9.8,12.5,7.1,12.7,36.4,23.8,0.0,32.6,12.5
BRIDGET CARLETON,MIN,9.3,12.5,20.0,0.0,6.3,9.3,7.7,6.3,0.0,12.5,0.0
KARLIE SAMUELSON,DAL,7.4,9.9,26.7,0.0,5.6,6.6,12.5,0.0,25.0,17.8,6.1
COURTNEY PARIS,SEA,6.2,5.1,0.0,13.0,39.4,34.4,17.6,10.2,17.4,27.7,7.0
ANGEL MCCOUGHTRY,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAIME NARED,LVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
KENISHA BELL,MIN,9.5,5.9,20.0,0.0,0.0,11.1,33.3,25.0,0.0,16.7,0.0
BLAKE DIETRICK,SEA,9.3,6.3,9.8,12.5,7.1,12.7,36.4,23.8,0.0,32.6,12.5
BRIDGET CARLETON,MIN,9.3,12.5,20.0,0.0,6.3,9.3,7.7,6.3,0.0,12.5,0.0
KARLIE SAMUELSON,DAL,7.4,9.9,26.7,0.0,5.6,6.6,12.5,0.0,25.0,17.8,6.1
COURTNEY PARIS,SEA,6.2,5.1,0.0,13.0,39.4,34.4,17.6,10.2,17.4,27.7,7.0
ANGEL MCCOUGHTRY,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAIME NARED,LVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
