Player,Team,Year,Pos,Archetype,DBPM,mean,Total Minutes,BPM,RAPM
THERESA PLAISANCE,TUL,2014,F,Roller/Cutter,3.9249258576984527,-1.620488331996025,89.3,-2.8776093996549443,1.6547476990273362
KAAYLA CHONES,SEA,2006,C,Roller/Cutter,3.9048869457182414,-3.464896030926706,13.8,-3.0069205862811548,-35.908715659902654
KEISHA ANDERSON,CHA,2001,G,Secondary Creator/Distributor,3.8742769612136905,11.503690225294582,102.6,-2.391429045262973,15.44640795497382
PETRA UJHELYI,DET,2003,C,Roller/Cutter,3.820880682758483,7.653660939341319,70.0,0.8009535380420272,7.389347711535939
AMAYA VALDEMORO,HOU,1999,F,Secondary Creator/Distributor,3.7889981212889507,1.549658922690971,91.8,4.135587509717843,4.9158635202365515
ANGIE BRAZIEL,CHA,1999,F,Roller/Cutter,3.788284541402715,-12.021143198319834,39.9,3.478368825601503,-12.551025663110222
COURTNEY PARIS,SEA,2019,C,Roller/Cutter,3.785812825291683,-3.4393950614910995,189.0,2.0934875493596197,-14.174259567812223
BELLA ALARIE,DAL,2020,PowerF,Roller/Cutter,3.7429042412162143,-2.8898464960763177,308.0,1.2647948815177328,-2.576933578220077
MFON UDOKA,LAS,2004,F,Roller/Cutter,3.7425199602481927,-3.796364580229475,20.1,-2.082275074325006,-7.931517281176053
NIKKI GREENE,CON,2015,PowerF,Roller/Cutter,3.702860683198742,-11.410223775894371,100.8,0.4137866751429442,-16.412117126736483
VICTORIA DUNLAP,WAS,2011,F,Roller/Cutter,3.677462666995498,1.7593766638162758,218.4,-1.623518149433905,-12.683147584478906
AWAK KUIER,DAL,2021,F,Secondary Creator/Distributor,3.6759200702945063,-1.3454652525968136,142.4,-3.4088455754840052,-8.632959876045277
HAMCHETOU MAIGA-BA,SAC,2003,F,Roller/Cutter,3.6594085568231893,5.608683777664086,191.4,3.832840466599684,4.132741066212459
TOCCARA WILLIAMS,SAN,2004,G,Secondary Creator/Distributor,3.658331929190272,-2.5757539238605247,416.0,-1.7585744657592715,-20.677557876720652
GRACE DALEY,NYL,2001,G,Secondary Creator/Distributor,3.636877272713574,7.821976017004464,64.5,-1.4257890357910061,7.61280241512628
KHADIJAH WHITTINGTON,IND,2008,F,Roller/Cutter,3.631637155992341,13.34294642109664,187.0,-3.3180061277922026,-5.15981481613561
KAYTE CHRISTENSEN,PHO,2005,F,Roller/Cutter,3.621272249856065,14.415565011723098,108.9,-1.0241840486509002,7.360520430799746
AVERY WARLEY-TALBERT,NYL,2019,C,Roller/Cutter,3.6131655367241406,-1.0116277008992305,35.400000000000006,-5.3190066014331485,4.790421868604421
DANIELLE ADAMS,CON,2017,PowerF,Spot-up Shooter,3.611078493025794,-22.839875603006497,83.60000000000001,6.142623658953564,-15.30734444813697
CRYSTAL ROBINSON,WAS,2007,F,Secondary Creator/Distributor,3.580147742336878,-14.13468455783471,43.6,-12.608494124508232,-10.889482010463592
JESSIE HICKS,ORL,2000,PowerF,Roller/Cutter,3.5789417028080215,-13.122657076352972,152.5,-12.980289462702602,64.96851669837059
SUE WICKS,NYL,2002,F,Roller/Cutter,3.5734674802233206,5.577862061169772,429.0,-6.321991706742613,5.348784129846772
