Player,Team,Year,Pos,Archetype,OBPM,mean,Total Minutes
KAMILA VODICHKOVA,PHO,2006,PowerF,Interior Primary Option,-4.377072378913218,-1.97641080788256,707.4
LISA HARRISON,PHO,2002,F,Secondary Creator/Distributor,-4.3776654033343005,-2.516430414983635,899.2
COCO MILLER,ATL,2011,G,Secondary Creator/Distributor,-4.3839767049683065,-3.630173220746865,539.4
KERRI GARDIN,CON,2009,F,Secondary Creator/Distributor,-4.385250636684273,-3.031746349559151,594.0
TAMMY JACKSON,HOU,2002,PowerF,Roller/Cutter,-4.3863775893991175,-4.075274959518418,70.0
JAMIE REDD,SEA,2000,F,Primary On-Ball Creator,-4.387382502943084,-6.650878886031911,384.8
MICHAELA ONYENWERE,PHO,2023,F,Secondary Creator/Distributor,-4.387679658217575,-4.354813110928548,952.0
DULCY FANKAM MENDJIADEU,SEA,2023,PowerF,Roller/Cutter,-4.388514498508776,-3.8602227232377104,469.2000000000001
ARMINTIE HERRINGTON,CHI,2008,G,Interior Primary Option,-4.389339514455309,-2.373402882541595,761.5999999999999
TYNESHA LEWIS,HOU,2002,G,Secondary Creator/Distributor,-4.403541045320682,-1.2439144776879094,146.2
MICHELLE SNOW,ATL,2009,C,Roller/Cutter,-4.4048887457685355,-1.91214377977242,503.2000000000001
CHRISTINA WIRTH,IND,2009,F,Spot-up Shooter,-4.404960115806155,-5.128104016482884,119.7
TAMIKA WHITMORE,NYL,2000,F,Interior Primary Option,-4.407869521046834,-0.9786861837535794,688.0
JAMIERRA FAULKNER,CHI,2018,G,Primary On-Ball Creator,-4.409891813453534,-0.7891300851377737,360.4
JEANETTE POHLEN-MAVUNGA,IND,2017,G,Spot-up Shooter,-4.411868407207412,-6.500260886291316,374.1
LAUREN COX,LAS,2021,F,Roller/Cutter,-4.412110179965602,-13.38235387264685,304.2
WENDI WILLITS,LAS,2001,G,Spot-up Shooter,-4.4126808631961385,-10.817951426743466,45.5
KIM PERROT,HOU,1997,G,Spot-up Shooter,-4.415322635296448,5.924335425107639,694.4
JENNIFER LACY,TUL,2010,F,Secondary Creator/Distributor,-4.420816982294145,0.7300286035450684,403.2000000000001
K.B. SHARP,CHI,2009,G,Secondary Creator/Distributor,-4.42122726218782,-0.5893905080681743,326.7
ALEX MONTGOMERY,NYL,2012,SG,Secondary Creator/Distributor,-4.42588672456089,-8.63941754717429,210.6
AMBER JACOBS,MIN,2006,G,Spot-up Shooter,-4.430562137573649,-0.7803467944871724,860.2
DOMINIQUE CANTY,CHI,2009,G,Secondary Creator/Distributor,-4.4410622086626175,-3.385931414277199,775.2
CIERRA BURDICK,ATL,2015,F,Roller/Cutter,-4.44133315787663,-6.445067938420798,207.9
KALANI BROWN,LAS,2019,C,Interior Primary Option,-4.442325733621134,-6.656570662036553,378.0
TARI PHILLIPS,NYL,2003,PowerF,Interior Primary Option,-4.442684612978856,-3.892837489919432,1029.6
JANEL MCCARVILLE,CHA,2005,PowerF,Roller/Cutter,-4.44386360632918,-1.5384326800394452,313.59999999999997
MARINA MABREY,LAS,2019,G,Spot-up Shooter,-4.446801753468693,-4.691712962360686,356.5
SHAVONTE ZELLOUS,IND,2015,G,Secondary Creator/Distributor,-4.4507040494691354,-1.843093683730374,510.6
NICOLE OHLDE,MIN,2006,PowerF,Interior Primary Option,-4.451706245046227,-4.32519555121655,870.4000000000001
WALTIEA ROLLE,SEA,2014,C,Roller/Cutter,-4.453210906797063,-3.691896963124069,66.6
KALANI BROWN,ATL,2020,C,Interior Primary Option,-4.453809439949048,-13.764358634527447,61.0
RUTHIE BOLTON,SAC,2003,G,Spot-up Shooter,-4.459643194353116,-2.8394908703153625,521.4
GABBY WILLIAMS,SEA,2023,F,Secondary Creator/Distributor,-4.460373877764244,-12.59069839973819,285.0
CHARDE HOUSTON,NYL,2014,F,Secondary Creator/Distributor,-4.465734636383457,1.4360136562079693,142.8
CAPPIE PONDEXTER,NYL,2013,G,Primary On-Ball Creator,-4.46680516216606,0.2660553099469295,1026.0
TANISHA WRIGHT,SEA,2005,G,Secondary Creator/Distributor,-4.4668324419337795,1.995687720085988,527.0
KIA NURSE,LAS,2024,G,Spot-up Shooter,-4.468107522972005,-6.011859812449383,812.0
JAMIE WEISNER,WAS,2016,G,Secondary Creator/Distributor,-4.468113363061186,-26.585137644189295,25.2
ANN WAUTERS,SEA,2012,C,Interior Primary Option,-4.469451813815714,-7.461593481022152,575.0
ALYSSA THOMAS,CON,2014,F,Interior Primary Option,-4.473868811887332,-2.361949162767911,928.2
JENNIFER GILLOM,PHO,1999,PowerF,Perimeter-Oriented Big/Wing,-4.475962869314203,-2.710796875156354,1091.2
NICKY ANOSIKE,WAS,2011,PowerF,Roller/Cutter,-4.481094566444841,-6.191077825793105,924.8
KARA BRAXTON,DET,2006,PowerF,Interior Primary Option,-4.481131796459402,-3.8095766283277377,360.4
MICHAELA ONYENWERE,NYL,2022,F,Secondary Creator/Distributor,-4.481977511949432,1.6497371911792542,465.7999999999999
TRICIA BADER BINFORD,CLE,2001,G,Spot-up Shooter,-4.488231077735921,0.4106311239591211,114.0
KATRINA COLLETON,LAS,1997,F,Secondary Creator/Distributor,-4.488280392182285,2.2337230839636923,604.8
TONYA MASSALINE,WAS,2000,F,Spot-up Shooter,-4.49203561025233,-14.034715027493968,102.6
STACEY LOVELACE,WAS,2007,C,Secondary Creator/Distributor,-4.4934848816618915,-6.241446697471065,104.4
JIA PERKINS,MIN,2016,G,Secondary Creator/Distributor,-4.493885035524234,-4.346629157915949,703.8
SVETLANA ABROSIMOVA,MIN,2006,F,Secondary Creator/Distributor,-4.494195439833808,-3.98621796591767,720.8
UKARI FIGGS,HOU,2003,G,Spot-up Shooter,-4.497877768204209,-0.3528681320800189,955.4
MIKIAH HERBERT HARRIGAN,PHO,2024,F,Spot-up Shooter,-4.499433110902692,-9.5814863759898,334.8
TAYLER HILL,WAS,2015,G,Primary On-Ball Creator,-4.503337660526864,-3.2011867228600597,544.0
CRYSTAL SMITH,HOU,2007,G,Spot-up Shooter,-4.503925294766152,-1.5504212491863336,666.9
CLARISSE MACHANGUANA,ORL,2002,PowerF,Roller/Cutter,-4.505562346874029,-11.292962327817106,429.2000000000001
CHASITY MELVIN,WAS,2010,PowerF,Roller/Cutter,-4.50894112886571,0.0748481736822018,659.5999999999999
