Player,Year,Pos,Archetype,DBPM,mean,BPM,RAPM
PETRA UJHELYI,2003,C,Roller/Cutter,4.510933257738626,7.653660939341319,-6.144225729208107,-3.5484517666729394
KAAYLA CHONES,2006,C,Roller/Cutter,4.5005602185410005,-3.464896030926706,-8.21418525602672,-60.269205203615385
TAMMY JACKSON,1997,PowerF,Roller/Cutter,4.475138371699658,4.504753617153402,2.729265059852664,3.670717918600198
EZINNE KALU,2024,G,Secondary Creator/Distributor,4.474190659433644,6.310217997127804,-22.383607486156592,-63.13146971337761
THERESA PLAISANCE,2014,F,Roller/Cutter,4.46655521909421,-1.620488331996025,-8.748544731781898,-8.323484175592336
VICKI HALL,2002,F,Roller/Cutter,4.426574175422098,9.223206694653546,4.395892817808949,-15.380928422126276
TAMMY JACKSON,2002,PowerF,Roller/Cutter,4.400989316873679,14.813052518609116,1.1613875199263548,2.223426746762435
BRITTANY BOYD-JONES,2017,G,Interior Primary Option,4.33514117457503,15.113260243070108,-17.669238788962218,-29.049329714589142
ANGEL MCCOUGHTRY,2022,SG,Interior Primary Option,4.330206591681339,-16.57953803502514,2.1483036840665592,-4.837928175155879
NICKY ANOSIKE,2012,PowerF,Roller/Cutter,4.32768934534297,5.556182608780948,-6.257605593129204,15.080043136566559
LA'SHAWN BROWN,1998,C,Roller/Cutter,4.325094680099048,-6.314852810169958,-3.557566963770431,-9.637107905270037
CAMERON BRINK,2024,F,Secondary Creator/Distributor,4.30745967644698,1.8148109566937312,-3.3513433601862417,-2.186551913174701
SONJA MALLORY,2003,C,Roller/Cutter,4.283205332481419,21.588752972677447,6.780741617212652,22.135100258707077
RAINA PEREZ,2022,G,Secondary Creator/Distributor,4.281891696896995,-48.37399434791374,,
SHANELE STIRES,2002,F,Spot-up Shooter,4.2778348810470215,31.705673984509257,-2.619851693187491,36.14088158489426
MORIAH JEFFERSON,2024,G,Secondary Creator/Distributor,4.276098911614648,-2.1695031430759717,1.2060019041624503,-7.704687422131901
CHARMIN SMITH,1999,G,Roller/Cutter,4.266108697075406,19.875112014357963,-2.588009367438559,9.038926497041682
ANGIE BRAZIEL,1999,F,Roller/Cutter,4.228674413075132,-12.021143198319834,-8.143068592368827,-32.608164106685535
DETRINA WHITE,2005,F,Roller/Cutter,4.215842111509471,0.0793384460097579,-5.8850734669192155,-23.387489227936328
AMBROSIA ANDERSON,2006,F,Roller/Cutter,4.209061076282907,5.932558177324669,,
MFON UDOKA,2004,F,Roller/Cutter,4.196719724171331,-3.796364580229475,-16.744471278666666,-29.37138786430281
ASHLEY ROBINSON,2007,C,Roller/Cutter,4.19063867379824,4.702657348276264,-1.3057932464029394,4.340150648145559
VICTORIA DUNLAP,2011,F,Roller/Cutter,4.171838188955268,1.7593766638162758,0.04515785183351628,4.2647925846720405
KENDRA WECKER,2005,F,Primary On-Ball Creator,4.163440826254634,-12.36614479298596,-18.60858467273806,-115.47598781759082
JACINTA MONROE,2010,F,Roller/Cutter,4.14625211154726,-5.492030944953098,-1.5055937969189452,-16.412294926093338
TIFFANY STANSBURY,2010,PowerF,Roller/Cutter,4.099407558654128,6.79438126024808,-36.034631639824525,-88.89036732631945
CHARMIN SMITH,2003,G,Spot-up Shooter,4.095962248786753,21.16978156711045,-11.789565088246942,-15.84434552359463
AVERY WARLEY-TALBERT,2019,C,Roller/Cutter,4.085779822114234,-1.0116277008992305,-15.533033911899153,-5.76410802751241
MARTINA WEBER,2007,C,Secondary Creator/Distributor,3.991603974691317,9.096429687766843,,
HAMCHETOU MAIGA-BA,2003,F,Roller/Cutter,3.9699296486079163,5.608683777664086,-5.645724302252761,11.888282507732022
