Player,Year,Pos,Archetype,OBPM,mean
ASJHA JONES,2006,F,Perimeter-Oriented Big/Wing,-1.566190556856735,6.007442288405938
SOPHIA YOUNG-MALCOLM,2010,F,Perimeter-Oriented Big/Wing,-1.566414675729026,-1.0844604738708272
TICHA PENICHEIRO,2001,G,Secondary Creator/Distributor,-1.5667442886843945,3.992234619358971
JOCELYN WILLOUGHBY,2023,SG,Spot-up Shooter,-1.5690830686255426,-19.72401881338291
ERIKA DE SOUZA,2014,PowerF,Interior Primary Option,-1.573358991435073,0.2128682066924535
LIZ CAMBAGE,2022,C,Interior Primary Option,-1.5748073708497312,0.2342372830410425
ERIN PERPEROGLOU,2008,F,Secondary Creator/Distributor,-1.576304063891364,-0.5500323301406642
YOLANDA GRIFFITH,2002,PowerF,Interior Primary Option,-1.5795034277074702,5.845815375120651
SHAY MURPHY,2007,G,Spot-up Shooter,-1.5821253689897077,-1.7450975500689871
BRIONNA JONES,2017,F,Roller/Cutter,-1.583591406878896,-4.541180781649296
CHELSEA GRAY,2015,G,Primary On-Ball Creator,-1.5862262316439772,1.501309958416618
STEPHANIE WHITE,2004,SG,Spot-up Shooter,-1.590289563580244,-3.8808456582927193
RIQUNA WILLIAMS,2018,G,Spot-up Shooter,-1.5905946908920807,-4.480639905123887
ALYSHA CLARK,2023,F,Spot-up Shooter,-1.5915293105600843,-2.3265251071779756
MERLAKIA JONES,2001,G,Perimeter-Oriented Big/Wing,-1.5981063511709257,0.173837379811153
SANDRINE GRUDA,2016,PowerF,Roller/Cutter,-1.6079292046399978,-5.489981213086308
KISHA FORD,1998,SG,Secondary Creator/Distributor,-1.6112678654450865,-5.2312613704410555
TEMEKA JOHNSON,2009,G,Secondary Creator/Distributor,-1.611390067972335,4.069191368438177
BECKY HAMMON,2006,G,Primary On-Ball Creator,-1.6118665156476368,-0.4904407173221831
PLENETTE PIERSON,2012,F,Interior Primary Option,-1.614888190718478,3.3941451818320094
AERIAL POWERS,2022,G,Perimeter-Oriented Big/Wing,-1.6151355582651394,-3.6774296562727953
BLAKE DIETRICK,2020,G,Spot-up Shooter,-1.6185990486000712,-5.381597807546013
TRISHA FALLON,2001,SG,Secondary Creator/Distributor,-1.6186987569267153,-0.7016274510121839
ERLANA LARKINS,2013,F,Roller/Cutter,-1.6200551612248724,-2.5159425299339477
BETTY LENNOX,2007,G,Primary On-Ball Creator,-1.6247193405982543,1.9010530258854816
ERIKA DE SOUZA,2012,PowerF,Interior Primary Option,-1.6247590861270638,-1.3065453683563857
VICKIE JOHNSON,1999,SG,Primary On-Ball Creator,-1.627632217631909,-0.241748417861342
ELAINE POWELL,2003,G,Secondary Creator/Distributor,-1.6295988760874842,3.822538714258703
DEMYA WALKER,2005,F,Perimeter-Oriented Big/Wing,-1.636985918363112,4.417657978477431
ANN STROTHER,2008,SG,Spot-up Shooter,-1.6420047266819078,0.1795915810200113
TAJ MCWILLIAMS-FRANKLIN,2007,PowerF,Interior Primary Option,-1.6422314444051893,-2.636697401737882
ANNA DEFORGE,2003,G,Primary On-Ball Creator,-1.6427232472297733,1.2428425644127068
KRISTINE ANIGWE,2023,PowerF,Roller/Cutter,-1.6448182108288338,-20.42431896892432
ALYSSA THOMAS,2019,F,Interior Primary Option,-1.6448921294677952,2.5984368978915606
KELLY MAZZANTE,2006,G,Spot-up Shooter,-1.6464375095794637,0.9326713557664974
KRISTI HARROWER,1999,G,Secondary Creator/Distributor,-1.6470090078471917,-0.8601136425251129
ANDREA STINSON,2005,G,Secondary Creator/Distributor,-1.6483796444002807,0.6962503072099956
TRICIA LISTON,2014,F,Spot-up Shooter,-1.6496752783437816,-9.969664868801775
