Player,Year,Pos,Archetype,BPM,RAPM
EVINA WESTBROOK,2023,G,Secondary Creator/Distributor,-9.136032429997655,-10.013367258889431
PARIS KEA,2019,G,Primary On-Ball Creator,-9.14997874483943,-16.319025197370117
TONYA MASSALINE,2001,F,Secondary Creator/Distributor,-9.152479650617572,-3.392654505657201
EDNA CAMPBELL,2003,G,Spot-up Shooter,-9.171699928160699,-8.903643363919329
NIESA JOHNSON,1999,G,Spot-up Shooter,-9.172317063975491,-5.250450939382697
GEORGIA SCHWEITZER,2003,SG,Spot-up Shooter,-9.179765778053895,-11.491298767139638
JASMINE THOMAS,2014,G,Secondary Creator/Distributor,-9.198924331541654,-2.509364905563417
EMILY ENGSTLER,2023,F,Secondary Creator/Distributor,-9.208498604315864,-12.552045369457902
DEBORAH CARTER,1997,SG,Roller/Cutter,-9.216285296176606,-22.923676235069887
TIFFANY MITCHELL,2022,G,Secondary Creator/Distributor,-9.22080419604438,4.543631599713043
ASJHA JONES,2012,F,Perimeter-Oriented Big/Wing,-9.233664767708783,1.0881660735830687
STEPHANIE MAVUNGA,2018,F,Roller/Cutter,-9.233831726842933,-10.702160443312845
LAETICIA AMIHERE,2024,F,Roller/Cutter,-9.23408412812218,0.1025753831712457
ALEX MONTGOMERY,2011,SG,Secondary Creator/Distributor,-9.257254854957496,-1.1597033557315708
GERGANA BRANZOVA,1998,F,Roller/Cutter,-9.2629135609133,0.5824606774651779
KATRINA COLLETON,2001,F,Secondary Creator/Distributor,-9.268679948220287,-26.348222055136755
WENDY PALMER,2003,F,Secondary Creator/Distributor,-9.273176022168059,1.2996337313756003
EPIPHANNY PRINCE,2020,G,Secondary Creator/Distributor,-9.283243664925223,-7.353557204565007
CRYSTAL LANGHORNE,2018,PowerF,Roller/Cutter,-9.286826360450712,-11.135256337405194
CHELSEA POPPENS,2013,F,Roller/Cutter,-9.2900393388995,-21.945506386605082
CORETTA BROWN,2006,G,Spot-up Shooter,-9.298779345239268,-1.2712785881093827
BRIA HARTLEY,2022,G,Secondary Creator/Distributor,-9.304112089203208,-2.7663937648953896
KAYLA MCBRIDE,2016,G,Primary On-Ball Creator,-9.309865128746596,-10.926032557843373
SIDNEY SPENCER,2011,G,Spot-up Shooter,-9.311790245163387,-0.6881255378068296
KRISTEN O'NEILL,2008,SG,Secondary Creator/Distributor,-9.319739477808676,-24.61093120765608
BRIA HARTLEY,2020,G,Primary On-Ball Creator,-9.336188997740841,-10.56072905542648
DEANNA NOLAN,2002,SG,Spot-up Shooter,-9.33703525024687,2.246415449760727
KELLY BOUCHER,1998,F,Secondary Creator/Distributor,-9.338238118800621,14.944360995827251
YVONNE TURNER,2017,G,Secondary Creator/Distributor,-9.349341869173989,1.9302463511188774
BEATRICE MOMPREMIER,2022,F,Roller/Cutter,-9.351255286121894,-9.205497916573004
TULLY BEVILAQUA,1998,G,Secondary Creator/Distributor,-9.353945587457652,-8.332665667287506
SHAY MURPHY,2009,G,Secondary Creator/Distributor,-9.355780918370813,-16.438106985920975
LINDSEY MOORE,2014,G,Spot-up Shooter,-9.358792114186528,-15.206336361324999
RHONDA MAPP,2003,C,Roller/Cutter,-9.36698705734346,-15.658074058460718
KATE STARBIRD,2004,SG,Spot-up Shooter,-9.368588771115158,-9.083280568964266
ALEXIS PRINCE,2017,F,Spot-up Shooter,-9.369234649987902,7.601133443243123
JENNIE SIMMS,2022,G,Secondary Creator/Distributor,-9.370546945007046,-5.182562809438741
LADY GROOMS,2004,F,Roller/Cutter,-9.37764969558906,-4.875801035257465
KAELA DAVIS,2017,F,Secondary Creator/Distributor,-9.382890584972278,-10.652790691818158
ASTOU NDOUR-FALL,2019,PowerF,Roller/Cutter,-9.383758535360714,-10.62160860145527
COURTNEY WILLIAMS,2020,G,Perimeter-Oriented Big/Wing,-9.387234406917123,-6.608908553126524
RUTHY HEBARD,2020,F,Roller/Cutter,-9.39511655521318,-0.004056047288336195
RIQUNA WILLIAMS,2013,G,Primary On-Ball Creator,-9.401379718781909,-12.779322079812566
BERNADETT HATÁR,2023,C,Roller/Cutter,-9.40401253489625,-17.089266042243036
A'JA WILSON,2020,C,Perimeter-Oriented Big/Wing,-9.404460821557853,-4.161598727361921
CHANDRA JOHNSON,2003,C,Spot-up Shooter,-9.40584897558971,-13.218239006357496
RESHANDA GRAY,2016,F,Roller/Cutter,-9.405901909509495,-10.468455158867359
CYNTHIA COOPER,2003,G,Primary On-Ball Creator,-9.40722221712955,-13.930189827379031
NIKOLINA MILIĆ,2023,F,Interior Primary Option,-9.413946964361074,-9.839910810102129
K.B. SHARP,2009,G,Secondary Creator/Distributor,-9.417614935984178,-17.754790981171887
DIANA TAURASI,2019,G,Primary On-Ball Creator,-9.420568275819688,-11.48530436874216
BRIANA BUTLER,2015,G,Roller/Cutter,-9.449546311751316,-35.30117749555225
ANETA KAUSAITE,1998,F,Roller/Cutter,-9.449846021673626,-0.19539040941701824
CHARDE HOUSTON,2014,F,Secondary Creator/Distributor,-9.450255130952819,-11.834822838559653
CAROLYN SWORDS,2017,C,Roller/Cutter,-9.451467938319086,-9.890566020910288
CAROLYN SWORDS,2016,C,Roller/Cutter,-9.462577983267694,-0.1465782224082015
RESHANDA GRAY,2015,F,Roller/Cutter,-9.471956807969844,-14.194840956703723
BECKY HAMMON,1999,G,Spot-up Shooter,-9.48033516024903,-12.283464196124603
KALANI BROWN,2020,C,Interior Primary Option,-9.491421492324958,1.2672498392566711
ARELLA GUIRANTES,2023,G,Secondary Creator/Distributor,-9.493539813487667,-53.58911603414783
