player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year
Skylar Diggins-Smith,SEA,G,40,1262,40,8.7,20.4,0.427,1.6,5.3,0.291,7.1,15,0.476,5.2,6,0.867,1.1,4.2,10.3,2.7,1.4,4.4,4.5,24.2,2024
Liz Dixon,PHO,F,17,160,0,3.5,9.3,0.379,0,0,,3.5,9.3,0.379,2.6,3.2,0.8,4.5,13.1,2.9,0.3,2.9,2.6,4.2,9.6,2024
Ivana Dojkić,NYL,G,26,257,0,5,14.8,0.338,3.2,8.4,0.381,1.8,6.4,0.281,4.2,5.4,0.778,1.8,4.4,4,1.8,0.2,2.8,5.2,17.3,2024
Stefanie Dolson,WAS,C,39,1011,39,6.7,14,0.475,3.6,7.8,0.465,3.1,6.3,0.488,1.7,2.1,0.786,1.7,9.7,5.2,1.1,0.9,3.4,5.7,18.6,2024
Aaliyah Edwards,WAS,F,34,741,17,7,14.3,0.49,0,0.5,0,7,13.9,0.507,3.6,5.5,0.65,3.3,13,3.3,1.7,1.8,3.4,6.2,17.6,2024
Emily Engstler,WAS,F,32,464,3,8.3,16.9,0.49,2.9,6.2,0.474,5.3,10.7,0.5,2,2.4,0.818,4.8,14,5.1,2.1,2.6,2.4,5.3,21.5,2024
Olivia Époupa,MIN,G,17,114,0,2.7,7.2,0.375,0,0,,2.7,7.2,0.375,0.9,0.9,1,2.7,8.6,11.8,6.3,0,6.8,5.9,6.3,2024
Dana Evans,CHI,G,39,743,12,6.5,17.4,0.377,2.8,7.5,0.376,3.7,9.9,0.378,3.3,3.4,0.96,0.3,3,6.5,1.8,0.3,3.7,3.3,19.2,2024
Temi Fagbenle,IND,C,22,415,2,7,13.8,0.509,0.2,1.4,0.167,6.8,12.3,0.549,2.7,3.4,0.786,3.7,12.6,2.4,1.3,1.8,3.3,8,16.9,2024
Dyaisha Fair,LVA,G,1,4,0,0,25.1,0,0,12.5,0,0,12.5,0,0,0,,0,0,25.1,0,0,0,0,0,2024
Dulcy Fankam Mendjiadeu,SEA,F-C,7,36,0,2.8,4.2,0.667,0,0,,2.8,4.2,0.667,2.8,8.4,0.333,5.6,12.6,1.4,0,0,4.2,7,8.4,2024
Leonie Fiebich,NYL,F,40,837,15,5.9,12.4,0.478,3.4,7.8,0.433,2.6,4.7,0.553,1.1,1.5,0.72,2.4,7.4,4.3,2.3,0.4,2.5,5.4,16.3,2024
Kysre Gondrezick,CHI,G,5,16,0,6.4,22.4,0.286,3.2,19.2,0.167,3.2,3.2,1,0,0,,3.2,6.4,6.4,12.8,0,9.6,6.4,16,2024
Allisha Gray,ATL,G,40,1330,40,8,19.9,0.403,2.7,7.9,0.342,5.3,12,0.443,5.6,7.3,0.769,1.7,6.8,4.2,1.6,1.1,2.6,3.7,24.3,2024
Chelsea Gray,LVA,G,27,702,25,6,14.7,0.408,1.9,5.5,0.338,4.1,9.2,0.45,2.8,3.4,0.813,0.4,5.6,9.4,2.4,1.4,4.6,2.6,16.7,2024
Brittney Griner,PHO,C,30,861,30,13,22.5,0.579,0.5,1.1,0.5,12.5,21.4,0.583,5.2,6.7,0.777,3.2,11.7,4.1,1,2.7,3.2,3.4,31.8,2024
Megan Gustafson,LVA,C,38,405,7,6.6,13.1,0.5,2.7,7.1,0.386,3.8,6.1,0.633,1.6,2.1,0.765,2.8,9,1.1,1.6,0.6,1.7,7.3,17.5,2024
Dearica Hamby,LAS,F,40,1346,40,10.1,19.6,0.512,1.1,3.3,0.341,8.9,16.3,0.547,4.7,7.4,0.631,2.3,13.8,5.2,2.6,0.3,4.4,4.1,25.9,2024
Isabelle Harrison,CHI,F,36,587,5,8.3,20.8,0.399,0.3,1.6,0.167,8,19.2,0.418,3.6,4.4,0.82,3.3,12.3,2.4,1.7,1,3.4,4.1,20.4,2024
Mikiah Herbert Harrigan,PHO,F,31,336,3,5.3,13,0.412,2.6,7.9,0.327,2.7,5,0.545,1.7,3,0.55,2.3,6.9,1.4,2.4,1.7,2.3,4.3,14.9,2024
Tyasha Harris,CON,G,39,1125,38,6.8,16,0.425,2.8,7.1,0.395,4,8.9,0.45,2.8,3.6,0.766,0.5,3.2,5.6,1.9,0.6,2.5,3.1,19.2,2024
Tiffany Hayes,LVA,G,33,708,5,7.8,15.6,0.5,2.3,5.8,0.402,5.5,9.8,0.558,4.3,6,0.714,1.9,6.5,4.9,1.8,0.6,2,4.8,22.2,2024
