player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year
Taj McWilliams-Franklin,MIN,F-C,33,879,33,7.2,13.8,0.519,0.1,0.3,0.4,7.1,13.5,0.522,1.8,2.4,0.75,3.2,10.4,4.9,2,2.7,3.9,4.4,16.2,2012
Coco Miller,LAS,G,10,141,1,3.9,13.2,0.297,0.7,2.1,0.333,3.2,11.1,0.29,0.7,0.7,1,3.2,9.7,3.9,0.7,0,4.7,1.4,9.3,2012
Kelly Miller,NYL,G,11,82,0,2.6,15.4,0.167,0.6,7.1,0.091,1.9,8.3,0.231,1.3,1.3,1,0.6,5.1,3.9,1.9,0,5.8,6.4,7.1,2012
DeLisha Milton-Jones,LAS,F,34,926,34,6.7,16.1,0.417,1.6,4.8,0.326,5.1,11.2,0.456,3.5,4.3,0.823,2.6,8.2,3.3,1.9,1.3,3.4,5.2,18.5,2012
Leilani Mitchell,NYL,G,34,908,25,4.6,11.2,0.409,3.1,7.5,0.411,1.5,3.7,0.406,0.5,0.7,0.75,1.2,4.9,6,2,0.3,3.1,4.2,12.8,2012
Alex Montgomery,NYL,G-F,26,210,0,6,16,0.375,2,5.8,0.348,4,10.3,0.39,2,2.8,0.727,4.3,12,2.8,3.8,0.5,3.5,5.8,16,2012
Renee Montgomery,CON,G,34,816,0,7.3,21,0.348,3,8.1,0.364,4.3,12.8,0.338,7.4,8.7,0.848,0.5,4,5.6,2.2,0.2,4.8,3.3,24.9,2012
Maya Moore,MIN,F,34,1011,34,10.2,21.9,0.465,3.7,9.6,0.388,6.4,12.3,0.525,4.4,5.1,0.879,3.6,10.5,6.3,2.6,1.1,3.2,4.4,28.5,2012
Jene Morris,TUL,G,9,82,1,3.8,10,0.375,2.5,5.6,0.444,1.3,4.4,0.286,0.6,1.3,0.5,3.1,5.6,1.3,3.8,0,2.5,6.9,10.6,2012
Ziomara Morrison,SAS,C,30,166,0,7,16.4,0.423,1.9,3.2,0.6,5.1,13.3,0.381,2.8,3.5,0.818,4.1,11.4,0.6,0.9,0.9,4.1,8.2,18.6,2012
Shay Murphy,CHI,G,29,538,3,8.6,20.4,0.42,4.4,10,0.441,4.1,10.3,0.4,2.7,3.6,0.73,3,8.3,2.7,3.1,0.6,3,4.4,24.2,2012
Natalie Novosel,WAS,G,31,306,0,6,17.7,0.337,1.6,7.2,0.22,4.4,10.5,0.417,3.9,5.1,0.759,3.3,7.2,4,2.5,0.5,3.3,2.8,17.4,2012
Nneka Ogwumike,LAS,F,33,920,33,9.8,18.3,0.535,0.1,0.4,0.143,9.7,17.9,0.543,5.8,7.8,0.734,5.4,13.5,2.2,2.5,1.6,2.3,4.8,25.3,2012
Jenna O'Hea,LAS,F,8,144,0,4.6,8.8,0.52,2.5,4.9,0.5,2.1,3.9,0.545,1.8,2.5,0.714,2.8,7,5.6,1.1,0.4,2.1,4.9,13.3,2012
Candace Parker,LAS,F-C,33,1014,33,11.3,23.6,0.481,0.9,2.9,0.322,10.4,20.6,0.504,4.9,6.9,0.71,4.1,15.9,5.5,2.5,3.8,4.9,2.9,28.5,2012
Kayla Pedersen,TUL,F,27,626,25,3.6,12.1,0.297,0.2,1,0.25,3.4,11.1,0.301,1.9,3.2,0.59,3,9.7,3.4,2.1,1.1,2.8,6.1,9.3,2012
Ticha Penicheiro,CHI,G,19,242,6,2.6,7.4,0.353,0.7,3.3,0.2,2,4.2,0.474,1.3,2.4,0.545,0.4,5.2,8.5,1.7,0.7,8.3,2.8,7.2,2012
Jia Perkins,SAS,G,33,759,3,8.8,23.3,0.38,3.4,8.8,0.386,5.5,14.5,0.376,3.2,4.2,0.754,1.2,6.4,4.4,3.7,0.8,2,3,24.3,2012
Devereaux Peters,MIN,F,30,424,2,7.4,13.3,0.56,0,0,,7.4,13.3,0.56,4.4,6.2,0.706,5.4,13.8,4,1.7,2.8,4.8,9,19.3,2012
Sonja Petrovic,CHI,F,30,453,2,6.3,17.6,0.358,2,7.1,0.279,4.3,10.5,0.411,2.3,3,0.769,1.5,7.9,3.6,1.8,1.8,4.6,4.9,16.9,2012
Erin Phillips,IND,G,29,620,8,5.4,13.8,0.39,2.4,5.5,0.438,2.9,8.2,0.358,2.2,2.5,0.862,2.1,6.9,5.5,1.9,0.3,3,4.2,15.3,2012
Plenette Pierson,NYL,F,26,641,24,10,21.5,0.466,0.4,1.5,0.278,9.6,20,0.48,5.2,6.8,0.759,3.9,11.6,5,1.6,1.9,5,4.4,25.6,2012
Jeanette Pohlen-Mavunga,IND,G,34,574,3,5.1,12,0.43,3,7.1,0.421,2.2,4.9,0.442,0.7,0.9,0.7,1.2,5.3,3.6,1.9,0.9,2.9,3.6,13.9,2012
Cappie Pondexter,NYL,G,34,1162,34,11.3,26,0.435,2.4,7.3,0.327,8.9,18.6,0.477,6.5,7.5,0.867,0.9,7,6.6,1.9,0.3,4.8,3.3,31.5,2012
Nicole Powell,NYL,F,34,922,21,5.1,12.2,0.416,2.7,6.9,0.388,2.4,5.3,0.452,0.7,0.9,0.867,2.3,8.4,2.7,2.6,0.8,2.8,3.6,13.6,2012
Samantha Prahalis,PHO,G,28,886,28,6.7,19,0.352,1.6,6.1,0.271,5.1,12.9,0.39,3.3,3.9,0.868,0.7,5.1,7.2,2.5,0.2,4.8,4,18.4,2012
Armintie Herrington,ATL,G,34,904,33,6.1,11.9,0.509,0,0.1,0,6.1,11.8,0.514,4,6.6,0.602,3.5,7,4.8,2.2,0.6,3.3,4.2,16.1,2012
Epiphanny Prince,CHI,G,26,780,25,10.7,24.1,0.442,4,9.8,0.407,6.6,14.2,0.467,6.6,7.4,0.899,1.6,6.2,5.4,3.2,0.5,3.5,3.9,32,2012
Noelle Quinn,WAS,G,30,666,18,5.8,14.7,0.396,2.5,6.2,0.403,3.3,8.5,0.39,1.5,2.1,0.731,1.5,7.1,4.4,1.8,0.5,2.3,2.6,15.6,2012
Katelan Redmon,NYL,G-F,7,42,0,3.8,17.5,0.214,0,1.3,0,3.8,16.3,0.231,1.3,2.5,0.5,6.3,10,2.5,3.8,0,3.8,10,8.8,2012
Ruth Riley,CHI,C,33,476,14,4,10.6,0.379,0.6,2,0.278,3.4,8.6,0.403,1.2,1.6,0.786,1.9,8.8,3.7,2.6,2.2,3,8.2,9.8,2012
Ashley Robinson,WAS,C,33,535,14,4.8,11.7,0.41,0,0.1,0,4.8,11.6,0.414,0.7,2,0.35,3.8,11,2.9,1.9,2.4,3.9,7.1,10.3,2012
Danielle Robinson,SAS,G,34,984,34,7.8,14.4,0.541,0,0.4,0,7.8,14,0.555,2.3,2.9,0.782,1,4.5,7.8,2.5,0.2,2.9,4.1,17.9,2012
Nakia Sanford,PHO,C-F,30,501,15,4.8,11.3,0.425,0.4,1.6,0.25,4.4,9.7,0.454,2.4,4,0.6,4.4,9.9,1.8,1.5,0.9,3.8,8.8,12.5,2012
Chay Shegog,CON,C,3,9,0,5.7,17.1,0.333,0,0,,5.7,17.1,0.333,5.7,11.4,0.5,5.7,11.4,0,5.7,0,5.7,17.1,17.1,2012
Dymond Simon,PHO,G,8,97,0,6.7,23.3,0.289,1,8.3,0.125,5.7,15,0.379,1,1,1,0.5,6.2,7.8,2.1,0,7.3,5.2,15.6,2012
Katie Smith*,SEA,G,34,919,31,4.5,11,0.412,2.6,6.5,0.4,1.9,4.5,0.429,1.8,2.2,0.838,0.5,5.5,4.3,1.2,0.2,3,4.8,13.4,2012
Tangela Smith,SAS,C,15,150,0,5.2,12.6,0.417,1.4,4.9,0.286,3.8,7.7,0.5,1,1,1,1,5.9,4.5,0.7,1,2.4,4.2,12.9,2012
Michelle Snow,WAS,C,32,643,21,6.8,12.9,0.523,0,0.1,0,6.8,12.8,0.526,2.3,3,0.778,4.9,14.4,1.6,1.6,2.3,4.4,6.3,15.9,2012
Shekinna Stricklen,SEA,F,34,784,3,6.9,17.4,0.395,2.5,8,0.316,4.3,9.3,0.463,2.5,3.6,0.692,1.9,10.1,2.7,1.6,0.5,2.4,4.8,18.8,2012
Tammy Sutton-Brown,IND,C,33,541,32,4.9,11.5,0.422,0,0,,4.9,11.5,0.422,3.2,4,0.8,2.8,9.2,2.4,2.4,2.7,2.2,3.9,12.9,2012
Ketia Swanier,ATL,G,34,389,2,3.4,10.7,0.317,0.7,3.9,0.167,2.7,6.8,0.404,2.5,3.4,0.731,0.7,6,8.6,2,0,5.4,3.1,9.9,2012
Carolyn Swords,CHI,C,30,334,9,8.2,14.4,0.571,0,0,,8.2,14.4,0.571,2.4,3.5,0.682,7.1,15.2,1.3,1.7,2.2,3,9,18.9,2012
April Sykes,LAS,G-F,30,259,0,6.4,16.9,0.379,3.5,9.3,0.375,2.9,7.6,0.385,1.6,2.9,0.533,1.6,6.6,3.7,1.8,0.8,3.1,5.3,17.9,2012
Diana Taurasi,PHO,G,8,166,8,10.3,23.6,0.436,5.2,13,0.395,5.2,10.6,0.486,8.2,9.1,0.9,0.3,3.9,5.5,1.2,1.2,4.2,4.8,33.9,2012
Zane Tamane,PHO,C,2,15,0,0,6.7,0,0,0,,0,6.7,0,0,0,,3.4,10.1,0,0,0,6.7,3.4,0,2012
Jasmine Thomas,WAS,G,34,763,23,7.5,19.8,0.379,2.5,6.8,0.365,5.1,13.1,0.387,2,3,0.674,1,5.7,6.6,2,0.5,5.2,3.7,19.5,2012
Krystal Thomas,PHO,C,29,771,25,5,10.2,0.484,0,0.1,0,5,10.2,0.487,2.2,4.3,0.5,6.1,15.2,1.8,0.3,1.7,4.3,6,12.1,2012
Tina Thompson*,SEA,F,29,551,5,8.9,20.1,0.442,4,9.4,0.427,4.9,10.8,0.455,3.4,4.1,0.833,2.3,9.8,1.4,1.4,2.2,3.6,6.5,25.2,2012
Erin Thorn,MIN,G,26,195,0,4.5,12.5,0.362,3.2,9,0.353,1.3,3.4,0.385,1.6,1.6,1,1.3,6.4,6.4,1.1,0,3.4,0.8,13.8,2012
Kristi Toliver,LAS,G,34,1071,33,9.3,18.9,0.491,3,7.1,0.424,6.3,11.8,0.532,6.5,7.2,0.901,1.5,5.1,7.8,2.1,0.1,5.8,4.8,28,2012
Courtney Vandersloot,CHI,G,34,906,27,6.9,17,0.405,1.6,4.9,0.333,5.3,12.1,0.435,2.2,3.3,0.649,0.4,4.1,9.2,2.6,0.4,6.5,5.2,17.6,2012
Kia Vaughn,NYL,C,31,710,17,6.6,15.3,0.43,0,0,,6.6,15.3,0.43,1.6,2.4,0.656,3.6,11.4,2,1.2,1.9,2.3,5.6,14.7,2012
DeMya Walker,NYL,F,33,525,8,4.1,10.4,0.394,0,0,,4.1,10.4,0.394,1.6,2.7,0.593,3.9,9.1,3.2,1.7,1.6,6.3,7.3,9.8,2012
Avery Warley-Talbert,PHO,C,28,497,3,3.3,7.1,0.471,0,0,,3.3,7.1,0.471,2,3.4,0.588,6.7,16.1,0.5,1.2,1.4,3.2,8.3,8.7,2012
Ann Wauters,SEA,C,25,574,17,8.9,17.2,0.519,0.8,1.9,0.45,8.1,15.3,0.528,3.9,5.4,0.737,3.1,13.7,3.4,1.3,1.7,5.4,4.5,22.6,2012
Lindsay Whalen*,MIN,G,33,891,33,8.6,17,0.505,0.8,1.5,0.5,7.8,15.5,0.506,4.2,5.7,0.727,1.7,8,10.3,1.3,0.3,3.9,4,22.1,2012
Tan White,CON,G,31,496,0,5.9,14.8,0.399,2.8,6.9,0.403,3.1,7.9,0.395,1.6,1.9,0.833,0.9,5.2,3.6,3.2,0.6,3.7,5.1,16.2,2012
Candice Wiggins,MIN,G,34,741,1,5,13.7,0.36,4,10.2,0.397,0.9,3.6,0.255,2.2,2.6,0.865,0.8,5.1,4.7,1.7,0.3,4.3,4.7,16.2,2012
Le'coe Willingham,CHI,F,33,610,1,3.5,11.1,0.313,1.7,6.3,0.274,1.7,4.8,0.364,1.2,2,0.609,2.9,8.3,2.7,1.3,0.3,4.9,5.2,9.9,2012
Riquna Williams,TUL,G,33,671,3,8.9,25.8,0.344,2.9,8.9,0.325,6,16.8,0.355,5.7,7,0.824,1.9,6.1,5.3,3.9,0.7,3.6,5,26.4,2012
Lindsay Wisdom-Hylton,WAS,F,34,501,2,6.5,13.6,0.48,0,0.1,0,6.5,13.5,0.484,1.5,2,0.737,4.4,10.4,3.4,2.6,2.9,4.3,5.6,14.6,2012
Julie Wojta,MIN,G-F,1,4,0,0,25.9,0,0,12.9,0,0,12.9,0,0,0,,12.9,25.9,0,0,0,12.9,25.9,0,2012
Monica Wright,MIN,G,34,660,7,8.1,17.6,0.458,1.3,3.4,0.364,6.8,14.2,0.481,5.6,7.5,0.74,1.4,6.4,5.2,2.7,0.5,5.1,5.4,23,2012
Tanisha Wright,SEA,G,32,953,32,5,13.3,0.373,0.6,2.9,0.192,4.4,10.4,0.424,3.8,4.4,0.859,1.3,5.5,7.9,2.1,0.2,4.8,5,14.3,2012
Sophia Young-Malcolm,SAS,F,33,1049,33,10.6,20.4,0.521,0,0.2,0,10.6,20.2,0.525,5.7,8,0.706,3.4,11.9,3.5,3.7,0.7,2.8,3.9,26.9,2012
Tamera Young,CHI,F,33,804,24,7.6,18,0.423,0,0.1,0,7.6,18,0.425,2.6,4.3,0.606,2.9,8,3.1,2.2,0.4,3,5.9,17.9,2012
Shavonte Zellous,IND,G,31,692,31,6.1,16.6,0.369,1.5,4.3,0.345,4.7,12.3,0.377,4.4,5.7,0.77,2.1,6.5,4.2,1.8,1.2,3.3,5.5,18.2,2012
Karima Christmas-Kelly,TOT,F-G,30,335,6,4.7,14.6,0.323,1.9,6,0.316,2.8,8.6,0.327,3.8,5.8,0.649,4.4,9.9,2.5,4.2,1.3,2.2,5.2,15.1,2012
Roneeka Hodges,TOT,G,32,617,16,7.3,18.3,0.399,4,11.4,0.353,3.3,6.9,0.476,1.7,2.3,0.714,0.9,5.1,3.7,1.6,0.8,3.1,1.7,20.3,2012
Lynetta Kizer,TOT,F,22,300,0,7.9,19.5,0.405,0.5,1,0.5,7.4,18.5,0.4,4.9,5.2,0.935,5.4,11.1,1.2,1.7,0.3,3.2,6.6,21.2,2012
Jessica Moore,TOT,F-C,16,108,0,4.3,9.5,0.45,0,0,,4.3,9.5,0.45,4.3,5.7,0.75,3.8,8.1,0.9,0,0,4.3,8.5,12.8,2012
Courtney Paris,TOT,C,27,254,0,7.9,14.5,0.542,0,0,,7.9,14.5,0.542,1.8,5.4,0.333,7.3,17.2,2.2,1.8,2.4,3,6.1,17.6,2012
Andrea Riley,TOT,G,11,99,0,2.5,16.8,0.152,0.5,8.6,0.059,2,8.1,0.25,7.1,8.6,0.824,0,4.6,7.6,1.5,0.5,6.6,4.1,12.7,2012
Karima Christmas-Kelly,TUL,F-G,14,161,6,4.5,13.4,0.333,1.6,5.1,0.313,2.9,8.3,0.346,5.4,7.3,0.739,4.8,8.6,1,4.5,1.3,1.9,7,15.9,2012
Roneeka Hodges,IND,G,12,107,0,7,22.1,0.318,3.5,13.6,0.259,3.5,8.5,0.412,1.5,3,0.5,1,3.5,3.5,1.5,3,2,1.5,19.1,2012
Lynetta Kizer,TUL,F,7,66,0,2.3,13.2,0.176,0,1.6,0,2.3,11.7,0.2,10.1,10.9,0.929,5.4,11.7,0,3.1,0,2.3,5.4,14.8,2012
Jessica Moore,ATL,F-C,8,43,0,7.1,10.6,0.667,0,0,,7.1,10.6,0.667,3.5,4.7,0.75,5.9,11.8,0,0,0,7.1,9.5,17.7,2012
Courtney Paris,ATL,C,4,29,0,5.3,10.5,0.5,0,0,,5.3,10.5,0.5,0,7,0,5.3,14,0,3.5,3.5,1.8,8.8,10.5,2012
Andrea Riley,PHO,G,9,84,0,3,16.8,0.179,0.6,9.6,0.063,2.4,7.2,0.333,8.4,10.2,0.824,0,4.8,7.8,1.8,0.6,7.2,3,15,2012
Karima Christmas-Kelly,IND,F-G,16,174,0,4.9,15.7,0.314,2.2,6.8,0.318,2.8,9,0.31,2.2,4.3,0.5,4,11.1,4,4,1.2,2.5,3.4,14.2,2012
Roneeka Hodges,TUL,G,20,510,16,7.3,17.5,0.42,4.1,11,0.376,3.2,6.5,0.492,1.7,2.2,0.773,0.9,5.4,3.7,1.6,0.4,3.3,1.7,20.5,2012
Lynetta Kizer,PHO,F,15,234,0,9.5,21.3,0.444,0.6,0.9,0.75,8.8,20.4,0.432,3.4,3.7,0.941,5.4,11,1.5,1.3,0.4,3.4,6.9,23,2012
Jessica Moore,CON,F-C,8,65,0,2.4,8.7,0.273,0,0,,2.4,8.7,0.273,4.7,6.3,0.75,2.4,5.5,1.6,0,0,2.4,7.9,9.5,2012
Courtney Paris,TUL,C,23,225,0,8.2,15.1,0.545,0,0,,8.2,15.1,0.545,2.1,5.2,0.391,7.5,17.6,2.5,1.6,2.3,3.2,5.7,18.5,2012
Andrea Riley,LAS,G,2,15,0,0,16.8,0,0,3.4,0,0,13.5,0,0,0,,0,3.4,6.7,0,0,3.4,10.1,0,2012
Jessica Adair,MIN,C,31,321,1,8.2,16.9,0.485,0,0,,8.2,16.9,0.485,5.2,8,0.653,7,14.7,1.6,1.3,2.9,4.4,8.4,21.6,2011
Danielle Adams,SAS,F-C,23,480,0,10.7,24.8,0.43,3.8,10.8,0.35,6.9,14,0.492,5.7,7.6,0.746,3.8,10.6,1.4,1.3,1.6,2.9,6.5,30.8,2011
Matee Ajavon,WAS,G,34,1065,33,8.8,22.6,0.391,1.9,6.8,0.276,7,15.8,0.441,5.9,7.1,0.829,1.5,4.1,5.3,2.9,0.5,5.3,5.5,25.4,2011
Nicky Anosike,WAS,F-C,34,924,29,4.4,12.6,0.347,0,0.1,0,4.4,12.6,0.349,5.2,7.1,0.736,4.9,14.3,2.8,2.9,1.6,3.5,5.1,14,2011
Jayne Appel-Marinelli,SAS,C,31,452,0,4.8,10.2,0.472,0.1,0.3,0.333,4.7,9.8,0.477,1.6,2.9,0.56,4.6,16.2,2.9,1.9,2.3,2.6,7.8,11.3,2011
Seimone Augustus*,MIN,G-F,34,997,34,12.2,24.1,0.504,1.3,3.2,0.417,10.9,21,0.518,3.4,3.9,0.865,1,6.3,4,1.6,0.8,2.4,2.2,29.1,2011
Miranda Ayim,TUL,F,3,42,0,5,11.3,0.444,0,0,,5,11.3,0.444,0,2.5,0,5,8.8,2.5,2.5,1.3,5,8.8,10,2011
Alison Bales,ATL,C,34,687,15,5,10.3,0.486,0.4,1.2,0.353,4.6,9.1,0.504,1.7,2.3,0.75,2.5,11.5,3,1.1,3.8,1.1,4,12.2,2011
Tully Bevilaqua,SAS,G,34,494,25,3.9,8.6,0.451,1.3,4.4,0.286,2.6,4.2,0.625,1.4,1.9,0.722,1,5,5.8,2.5,0.2,2.6,3.2,10.4,2011
Sue Bird,SEA,G,34,1123,34,9,20,0.449,3.5,8.1,0.428,5.5,11.8,0.463,3.1,3.5,0.875,0.7,4.8,8.1,2.3,0.3,3.9,2.1,24.5,2011
Angie Bjorklund,CHI,F,7,43,0,2.4,13.4,0.182,1.2,6.1,0.2,1.2,7.3,0.167,3.6,3.6,1,0,2.4,2.4,1.2,0,2.4,9.7,9.7,2011
Shannon Bobbitt,IND,G,31,439,3,5,14,0.357,2.1,5.4,0.386,2.9,8.6,0.338,2.8,3.7,0.767,1.5,5,6.6,3.7,0,4.5,4,14.9,2011
DeWanna Bonner,PHO,F-G,34,857,5,6.9,16.1,0.43,2,5.9,0.343,4.9,10.2,0.48,5.2,5.7,0.909,3.6,13.8,1.6,2,2.1,2,3.5,21.1,2011
Rebekkah Brunson,MIN,F,34,938,34,7.7,15,0.511,0,0,,7.7,15,0.511,4.1,6.2,0.667,5.4,16.9,2.2,1.6,1,2.9,4,19.5,2011
Liz Cambage,TUL,C,33,659,11,10.7,20.9,0.511,0,0.4,0,10.7,20.5,0.521,9,11.3,0.794,4.3,12.5,1.4,2.2,2.3,6.3,7.6,30.4,2011
Dominique Canty,CHI,G,22,331,8,5.5,17.4,0.318,0.2,1.1,0.143,5.4,16.3,0.33,3,5.2,0.576,1.3,4.3,7.1,1.6,0.3,5,5.8,14.2,2011
Essence Carson,NYL,G,32,725,5,10.1,23.2,0.437,1.7,4.5,0.387,8.4,18.7,0.449,4.3,5.8,0.738,2.3,6.6,3.9,2.8,1.5,3.4,4.4,26.3,2011
Swin Cash*,SEA,F,34,1128,34,7.4,18.6,0.396,1.7,6,0.285,5.7,12.6,0.45,5.6,6.6,0.846,2.5,11.4,3.9,1.6,1,4.6,4.9,22,2011
Iziane Castro Marques,ATL,F-G,34,672,14,7.3,20.1,0.36,1.2,5.9,0.213,6,14.3,0.421,3.2,5.2,0.62,1.1,4.2,4.2,1,0.3,4,2.8,19,2011
Tamika Catchings*,IND,F,33,1040,33,8.6,19.7,0.438,1.6,4.7,0.348,7,15,0.466,7.3,8.3,0.883,3.2,12,5.9,3.4,1.5,3.8,3.5,26.3,2011
Tina Charles,CON,C,34,1136,34,11.5,24.7,0.468,0,0.1,0,11.5,24.5,0.47,4.2,6.1,0.687,5.7,17,2.9,1.2,2.7,3.4,4,27.3,2011
Joy Cheek,WAS,F,3,16,0,3.4,13.5,0.25,0,3.4,0,3.4,10.1,0.333,3.4,3.4,1,0,10.1,0,0,3.4,6.8,6.8,10.1,2011
Felicia Chester,NYL,F,4,27,0,2,5.9,0.333,0,0,,2,5.9,0.333,0,3.9,0,7.8,15.7,0,2,0,0,7.8,3.9,2011
Marissa Coleman,WAS,G-F,34,918,28,6.3,16.4,0.385,3.1,8.5,0.368,3.2,7.9,0.403,1.5,2.2,0.676,2.7,9.7,2.8,1.4,0.8,3.2,4.7,17.2,2011
Sydney Colson,NYL,G,16,86,0,4.3,12.3,0.35,1.8,4.3,0.429,2.5,8,0.308,3.1,3.7,0.833,0,3.7,6.1,2.5,1.2,10.4,5.5,13.5,2011
Monique Currie,WAS,F,4,77,1,10.5,24.6,0.429,0.7,5.6,0.125,9.8,19,0.519,11.2,11.2,1,4.9,11.9,2.8,4.9,0,7,7.7,33,2011
Jessica Davenport,IND,C,34,717,8,10.8,20.4,0.529,0,0.2,0,10.8,20.2,0.535,5.4,7.8,0.702,3.7,12.1,1.3,2,3.4,4.1,5.7,27.1,2011
Erika de Souza,ATL,F-C,32,877,32,9.6,19.3,0.499,0,0.1,0,9.6,19.2,0.5,2,3.1,0.655,4.7,13.5,1.7,2.1,2.4,3.2,5.3,21.2,2011
Scholanda Dorrell,SAS,G,32,518,22,5.2,15.5,0.335,1.8,5.3,0.34,3.4,10.2,0.333,3.1,4.4,0.705,0.9,4.9,1.2,2.3,0.7,1.9,5.1,15.3,2011
Katie Douglas,IND,G-F,32,940,32,9.4,20.3,0.465,3.8,8.5,0.44,5.7,11.8,0.483,2.7,4,0.671,1.8,7.2,5.2,2.3,0.5,3.7,2.7,25.3,2011
Victoria Dunlap,WAS,F,26,219,3,6.2,14.1,0.439,0.2,0.5,0.5,5.9,13.6,0.436,2,4.2,0.471,4.2,10.6,2.7,4.4,1.2,3.7,4.7,14.6,2011
Candice Dupree,PHO,F,34,1075,34,9.1,16.6,0.548,0,0.3,0.167,9.1,16.4,0.555,4.5,5.3,0.852,4,12.9,2.8,0.9,1.2,3.1,3.4,22.8,2011
Shyra Ely-Gash,IND,F,33,355,0,5.9,16.4,0.358,0.8,3.6,0.208,5.1,12.8,0.4,3,4.4,0.69,2.9,11,1.4,0.9,0.9,3.8,6.9,15.5,2011
Marie Ferdinand-Harris,PHO,G,34,593,2,7.3,21.7,0.335,1.5,4.5,0.333,5.8,17.2,0.335,3.2,3.3,0.974,1.2,4.3,3.3,1.6,0.6,3.6,5.1,19.2,2011
Sylvia Fowles,CHI,C,34,1175,34,11.7,19.8,0.591,0,0,,11.7,19.8,0.591,6.8,8.9,0.766,4.4,15.4,1,1.8,3,4.3,3.8,30.2,2011
Kerri Gardin,WAS,F,28,391,5,1.9,8.2,0.237,0,1.1,0,1.9,7.1,0.275,2.1,4,0.517,3,10.4,3.7,3.3,1.8,3.6,5.4,5.9,2011
Alexis Gray-Lawson,PHO,G,27,308,0,5.3,13.3,0.398,2.4,6.9,0.349,2.9,6.4,0.45,3.7,4.5,0.821,0.8,3.2,5.6,1,0,3.4,4.8,16.7,2011
Kalana Greene,CON,G,33,781,33,4.6,11,0.422,1.2,3,0.391,3.4,7.9,0.433,1.8,3,0.6,1.7,8.3,3.2,2,0.8,1.9,3.6,12.2,2011
Kelsey Griffin,CON,F,34,441,2,4.8,13.5,0.357,0.5,2.8,0.167,4.3,10.6,0.407,4.4,6.1,0.731,5.3,12.2,2.1,2.9,1.2,1.5,4.9,14.5,2011
Becky Hammon*,SAS,G,33,1050,33,8.7,19.7,0.44,3.7,9.5,0.389,5,10.2,0.488,4.9,5.5,0.892,0.2,4.7,9.5,2.4,0.3,5.9,2.5,25.9,2011
Lindsey Harding,ATL,G,34,1037,33,6.7,14.7,0.455,0.5,1.6,0.303,6.2,13.1,0.473,3.1,4.3,0.733,0.8,5.2,7.7,1.6,0.3,3.8,2.8,17,2011
Amber Harris,MIN,F,27,278,0,6.2,15.7,0.398,0,0,,6.2,15.7,0.398,4.3,5.9,0.742,4.5,11.3,2.1,0.6,2.1,2.5,6.2,16.8,2011
Allison Hightower,CON,G,25,231,2,4.2,12.5,0.339,0.9,4,0.222,3.4,8.5,0.395,2,2.7,0.75,0.9,3.6,2.9,2.5,0.2,1.6,4.9,11.4,2011
Doneeka Lewis,TUL,G,5,101,2,6.3,22.4,0.279,3.7,13.6,0.269,2.6,8.9,0.294,0,0,,1.6,5.7,7.3,2.1,0.5,6.8,3.7,16.2,2011
Roneeka Hodges,SAS,G,28,273,5,6.8,16.9,0.404,6.1,15.2,0.4,0.8,1.7,0.444,0.9,0.9,1,0.6,6.6,2.7,0.9,0.4,0.8,1.9,20.6,2011
Ebony Hoffman,LAS,F,34,752,16,6.9,15.8,0.437,1.7,4,0.429,5.2,11.8,0.44,2.7,3.2,0.844,3.1,10.1,2.6,2.6,0.6,3.6,5.5,18.2,2011
Quanitra Hollingsworth,NYL,C,31,524,1,5.4,10.4,0.524,0,0,,5.4,10.4,0.524,3.6,5.3,0.679,5.4,13.8,1,1.6,1,4.4,8,14.5,2011
Amber Holt,TUL,F,26,666,24,4.8,16,0.302,1.2,5.5,0.214,3.6,10.4,0.348,3,3.3,0.905,2.2,6.3,4.9,1.4,0.2,2.7,4.5,13.8,2011
Alexis Hornbuckle,MIN,G,29,208,0,3,8.1,0.375,1.3,4.3,0.294,1.8,3.8,0.467,0.5,1,0.5,1.5,8.3,4,2.5,0.8,5.3,7.6,7.8,2011
Charde Houston,MIN,F,27,210,0,7.8,21.3,0.365,1.5,5.8,0.261,6.3,15.5,0.403,2.3,3,0.75,2.5,11.8,3.5,2.3,0.5,5.3,8.5,19.3,2011
Ify Ibekwe,SEA,F,3,8,0,0,13.7,0,0,0,,0,13.7,0,0,0,,0,20.6,0,0,0,6.9,0,0,2011
Sandora Irvin,ATL,F,30,248,1,4,11.7,0.339,0,1,0,4,10.7,0.37,2.8,4,0.7,6.4,15.1,2.8,1.2,3,3.2,9.5,10.7,2011
Lauren Jackson*,SEA,F-C,13,322,13,9,22.9,0.396,2.4,7.7,0.311,6.7,15.2,0.438,6.5,7.3,0.884,1.9,10.9,0.7,2.2,1.9,2.9,5.6,27,2011
Tiffany Jackson-Jones,TUL,F,34,1152,32,6.9,15.1,0.456,0,0,0,6.9,15.1,0.458,5.5,7.1,0.776,4.6,13.1,3.1,1.8,1,4.3,4.3,19.3,2011
