"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Odyssey Sims","ATL",30,753,1487,17.552118359112306,5.985205110961668,14.4586415601883,0.413953488372093,1.0759919300605245,4.640215198386012,0.2318840579710145,0.2318840579710145,2.3537323470073974,6.186953597848016,5.78345662407532,3.2279757901815738,0,0.5168539325842697,0.5348837209302325,1,0.24295774647887325,0.4932382042253521,0.397887323943662,0.4264705882352941,0.4034969737726967,0.8742434431741762,0.06046511627906977,0,0,20.796719390743995
"Betnijah Laney","ATL",22,733,1485,25.454545454545453,7.609427609427609,15.016835016835017,0.5067264573991032,2.0202020202020203,4.983164983164984,0.40540540540540543,0.410958904109589,4.175084175084175,6.32996632996633,8.88888888888889,4.848484848484849,1.2121212121212122,0.415929203539823,0.44339622641509435,0.8,0.24915824915824916,0.4475938983050847,0.531986531986532,0.5701219512195121,0.9427609427609428,0.6734006734006734,0.04484304932735426,0,0,23.236514522821576
"Shekinna Stricklen","ATL",46,713,1420,13.732394366197184,1.5492957746478873,4.084507042253521,0.3793103448275862,3.3098591549295775,11.619718309859154,0.28484848484848485,0.28484848484848485,0.704225352112676,2.112676056338028,0.9859154929577465,9.507042253521126,0.4225352112676056,0.6818181818181818,0.7142857142857143,0.9574468085106383,0.7399103139013453,0.4895811659192825,0.4147982062780269,0.42543859649122806,0.14084507042253522,0.49295774647887325,0.1206896551724138,0.14084507042253522,0.012121212121212121,14.981729598051155
"Chamique Holdsclaw","ATL",25,708,1460,23.835616438356166,8.63013698630137,19.794520547945204,0.4359861591695502,0.410958904109589,2.0547945205479454,0.2,0.2,5.342465753424658,5.616438356164384,11.643835616438356,1.2328767123287672,0,0.3253968253968254,0.35344827586206895,1,0.09404388714733543,0.4415280564263323,0.4231974921630094,0.4777777777777778,1.36986301369863,1.36986301369863,0.06920415224913495,0.0684931506849315,0.03333333333333333,25.485579752795765
"Asia (AD) Durr","ATL",51,690,1423,23.401264933239634,5.481377371749824,13.42234715390021,0.4083769633507853,2.8812368236120873,7.519325368938862,0.38317757009345793,0.38317757009345793,3.7947997189037244,4.638088545326775,6.324666198172874,8.643710470836261,0,0.4230769230769231,0.42857142857142855,1,0.35906040268456374,0.48012181208053695,0.46812080536912754,0.5091743119266054,0.14054813773717498,1.1243851018973998,0.08376963350785341,0.14054813773717498,0.018691588785046728,22.872996300863132
"Danielle Robinson","ATL",32,690,1386,13.492063492063492,4.473304473304474,8.874458874458874,0.5040650406504065,0.6493506493506493,2.236652236652237,0.2903225806451613,0.3103448275862069,2.5974025974025974,5.339105339105339,3.6075036075036073,1.948051948051948,0,0.5967741935483871,0.5967741935483871,1,0.2012987012987013,0.5155055921052631,0.4902597402597403,0.5285714285714286,0,0.6493506493506493,0.07317073170731707,0,0,13.894200127469727
"Chennedy Carter","ATL",27,686,1405,30.96085409252669,10.88967971530249,22.419928825622776,0.4857142857142857,0.9252669039145908,2.9181494661921707,0.3170731707317073,0.3170731707317073,6.405693950177936,5.124555160142349,16.654804270462634,1.0676156583629892,1.708185053380783,0.23529411764705882,0.23684210526315788,0.38461538461538464,0.1151685393258427,0.4711976123595506,0.4845505617977528,0.5397022332506204,0.1423487544483986,1.5658362989323844,0.06984126984126984,0,0,29.36756418284283
"Jordin Canada","ATL",20,624,1194,17.67169179229481,4.438860971524288,10.050251256281408,0.44166666666666665,1.340033500837521,4.773869346733668,0.2807017543859649,0.3018867924528302,4.773869346733668,1.1725293132328307,7.705192629815746,2.763819095477387,1.256281407035176,0.1320754716981132,0.1320754716981132,0.6875,0.3220338983050847,0.4830794117647059,0.4350282485875706,0.5023809523809524,0,0.5862646566164154,0.058333333333333334,0,0,18.234442836468887
"Maya Caldwell","ATL",34,618,1220,18.770491803278688,4.672131147540983,9.59016393442623,0.48717948717948717,2.7049180327868854,6.721311475409836,0.4024390243902439,0.4125,1.3114754098360655,4.426229508196721,4.918032786885246,7.377049180327869,0.7377049180327869,0.47368421052631576,0.5192307692307693,0.9090909090909091,0.4120603015075377,0.5012032994923858,0.535175879396985,0.5504807692307693,0.819672131147541,0.9016393442622951,0.09401709401709402,0,0,17.766497461928935
"Kristy Wallace","ATL",29,602,1196,15.88628762541806,3.42809364548495,7.8595317725752505,0.43617021276595747,2.0903010033444818,5.68561872909699,0.36764705882352944,0.373134328358209,2.759197324414716,4.3478260869565215,2.508361204013378,6.270903010033445,0,0.6341463414634146,0.6666666666666666,1,0.41975308641975306,0.49617781250000004,0.4845679012345679,0.521978021978022,0.33444816053511706,1.254180602006689,0.1595744680851064,0.16722408026755853,0.029411764705882353,16.422287390029325
"Yelena Leuchanka","ATL",51,599,1238,15.4281098546042,5.896607431340873,13.08562197092084,0.4506172839506173,0.08077544426494346,0.48465266558966075,0.16666666666666666,0.16666666666666666,3.392568659127625,8.239095315024233,3.5541195476575123,0.24232633279483037,0,0.6986301369863014,0.796875,1,0.03571428571428571,0.47379464285714284,0.44345238095238093,0.4897435897435897,1.4539579967689822,1.050080775444265,0.08024691358024691,0,0,18.73259052924791
"Celine Dumerc","ATL",28,527,1068,8.707865168539326,1.4981273408239701,4.02621722846442,0.37209302325581395,1.1235955056179776,4.868913857677903,0.23076923076923078,0.24489795918367346,2.3408239700374533,1.6853932584269662,1.3108614232209739,2.247191011235955,1.1235955056179776,0.5625,0.5625,0.6666666666666666,0.5473684210526316,0.47953131868131865,0.35789473684210527,0.41517857142857145,0,0.09363295880149813,0.023255813953488372,0.09363295880149813,0.019230769230769232,13.6
"Reshanda Gray","ATL",45,520,1050,18.761904761904763,6.857142857142857,13.428571428571429,0.5106382978723404,0,0.09523809523809523,0,0,5.0476190476190474,8.761904761904763,4.9523809523809526,0,0,0.6388888888888888,0.7796610169491526,0,0.007042253521126761,0.5363102112676056,0.5070422535211268,0.556497175141243,2.4761904761904763,1.4285714285714286,0.10638297872340426,0,0,16.88
"Cathrine Kraayeveld","ATL",33,507,1001,15.184815184815184,2.097902097902098,4.595404595404595,0.45652173913043476,3.4965034965034967,8.691308691308691,0.40229885057471265,0.40229885057471265,0.4995004995004995,3.3966033966033966,0.7992007992007992,10.48951048951049,0,0.8095238095238095,0.8947368421052632,1,0.6541353383458647,0.4905492481203007,0.5526315789473685,0.5428571428571428,0.3996003996003996,0.2997002997002997,0.06521739130434782,0.1998001998001998,0.022988505747126436,14.079728583545378
