Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
RUTH RILEY,DET,2005,C,Perimeter-Oriented Big/Wing,861.3000000000001,-4.463760979072337,-0.3227877383143145
BRIA HARTLEY,NYL,2018,G,Primary On-Ball Creator,805.8,-4.464823571947163,-6.0556575331873574
CHERYL FORD,DET,2003,F,Interior Primary Option,956.8,-4.46672321507382,-0.9096274117839462
ANDREA NAGY,SAC,2002,G,Secondary Creator/Distributor,410.4,-4.467671701142253,-9.530059506858077
TIANNA HAWKINS,WAS,2020,F,Secondary Creator/Distributor,328.1,-4.467913736250379,-13.098491122682965
ALEXIS GRAY-LAWSON,PHO,2011,G,Spot-up Shooter,307.8,-4.468867779568209,-4.572309269100655
KELSEY MITCHELL,IND,2020,G,Primary On-Ball Creator,706.2,-4.4761788886356975,-2.354782078094516
REBEKKAH BRUNSON,MIN,2010,F,Interior Primary Option,915.0,-4.484874998880469,-4.906917111898093
LYNN PRIDE,MIN,2001,SG,Roller/Cutter,716.8,-4.486916308149659,-8.200802975315096
BRIANNA TURNER,PHO,2021,PowerF,Roller/Cutter,995.2,-4.487504223126724,4.880145697849181
ERLANA LARKINS,NYL,2008,F,Interior Primary Option,334.8,-4.488338216372806,-5.683482644548549
VICKY BULLETT,WAS,2001,F,Secondary Creator/Distributor,1072.0,-4.488647304336117,-0.8702466131569988
ALYSSA THOMAS,CON,2015,F,Interior Primary Option,624.0,-4.490182807655899,-0.369238798409583
ERICA WHEELER,IND,2024,G,Secondary Creator/Distributor,546.0,-4.492147405542423,-0.7045726451093683
JISU PARK,LVA,2021,C,Roller/Cutter,222.5,-4.494307975966152,-3.038724990659865
KARA LAWSON,SAC,2007,G,Primary On-Ball Creator,741.2,-4.498863337139395,2.6296162932470972
KATIE MATTERA,SAN,2005,C,Interior Primary Option,680.0,-4.515837318367091,-8.215690062152769
SHENISE JOHNSON,SAN,2012,G,Secondary Creator/Distributor,581.4000000000001,-4.516218225050457,-7.666661820104929
DIAMOND DESHIELDS,CHI,2021,G,Secondary Creator/Distributor,860.8,-4.517661093297446,-1.627010280321019
TAJ MCWILLIAMS-FRANKLIN,CON,2004,PowerF,Interior Primary Option,1135.6,-4.519214929362739,2.582219006605549
SABRINA IONESCU,NYL,2020,G,Primary On-Ball Creator,79.80000000000001,-4.519301548138919,-7.169176206474432
FELICIA RAGLAND,SEA,2002,G,Spot-up Shooter,434.0,-4.519707770760952,-1.9228717913340185
BRIANNA TURNER,PHO,2019,PowerF,Roller/Cutter,461.1,-4.523989387031336,0.07988394369262575
SEMEKA RANDALL,SAN,2003,G,Roller/Cutter,339.90000000000003,-4.532117261433185,-3.4940472701048937
KELLY MILLER,PHO,2006,G,Secondary Creator/Distributor,774.8000000000001,-4.532232411090193,3.849290376140375
SONJA TATE,MIN,2000,G,Spot-up Shooter,95.2,-4.532834077460084,-3.105055332098413
CATHRINE KRAAYEVELD,NYL,2008,F,Spot-up Shooter,962.2,-4.53619046183404,3.737715623277275
ALYSHA CLARK,SEA,2012,F,Secondary Creator/Distributor,236.9,-4.5384323393438875,-7.350865731137892
LOREE MOORE,NYL,2009,G,Secondary Creator/Distributor,941.8,-4.539319108663386,-2.4792136578504493
MERCEDES RUSSELL,SEA,2024,C,Roller/Cutter,584.6,-4.541693452078139,0.30185124792630447
JANETH ARCAIN,HOU,2005,G,Perimeter-Oriented Big/Wing,1084.6,-4.544322258048081,0.9955039622476254
TAMERA YOUNG,CHI,2009,F,Secondary Creator/Distributor,201.6,-4.546114524487196,5.95053018156726
