Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
JORDAN HOOPER,CHI,2017,F,Spot-up Shooter,299.59999999999997,-4.178505173472493,-2.422877087949317
JESSICA SHEPARD,MIN,2022,F,Interior Primary Option,939.6,-4.180277490608847,-3.9287651880210124
TIANNA HAWKINS,WAS,2017,F,Roller/Cutter,547.8000000000001,-4.1818875227867265,0.3167984859517552
JASMINE THOMAS,CON,2019,G,Primary On-Ball Creator,1009.8,-4.182534460202201,7.111005639970655
JACKIE STILES,POR,2002,G,Spot-up Shooter,384.3,-4.183306706549166,-9.017023366896426
TULLY BEVILAQUA,CLE,1998,G,Secondary Creator/Distributor,121.0,-4.183755371298379,-20.73450443417919
RUTH HAMBLIN,DAL,2016,C,Roller/Cutter,130.0,-4.1856483891502485,-9.385005860002913
NATALIE WILLIAMS,UTA,2002,C,Interior Primary Option,1007.5,-4.188479300559001,0.17693047537072282
TULLY BEVILAQUA,SEA,2004,G,Spot-up Shooter,360.4,-4.190704345374915,7.253786767111787
KARA LAWSON,SAC,2006,G,Spot-up Shooter,748.0,-4.192155542756538,8.61567867565764
SHAMEKA CHRISTON,NYL,2005,G,Primary On-Ball Creator,809.2,-4.196264613710216,-2.0892525597656997
ROBIN THREATT-ELLIOTT,SEA,2000,G,Primary On-Ball Creator,378.0,-4.19860848185542,-2.0557248289267203
SOPHIA WITHERSPOON,POR,2001,G,Primary On-Ball Creator,861.8000000000001,-4.198637160117709,1.3417471678518589
ELENA SHAKIROVA,HOU,2000,C,Secondary Creator/Distributor,151.20000000000002,-4.198894364955236,-0.9299467166252257
JANELL BURSE,SEA,2005,C,Interior Primary Option,863.5999999999999,-4.200877545048668,1.6037065939748991
GABBY WILLIAMS,SEA,2023,F,Secondary Creator/Distributor,285.0,-4.202321277841912,-11.24440784655222
MARLA BRUMFIELD,MIN,2000,G,Secondary Creator/Distributor,611.2,-4.20448349766265,-1.7057452368316761
BRIANN JANUARY,IND,2009,G,Spot-up Shooter,676.5,-4.2130500009206395,3.0963841460627752
MONICA WRIGHT,MIN,2013,G,Secondary Creator/Distributor,742.5,-4.216483383449012,-1.7144814340866539
SASHA GOODLETT,CHI,2014,C,Roller/Cutter,438.6,-4.217670833851088,-2.94298173479391
STEPHANIE MAVUNGA,IND,2018,F,Roller/Cutter,195.0,-4.220212647602796,3.5714063866654646
KRISTIN FOLKL,POR,2002,F,Roller/Cutter,601.6,-4.229406775246712,2.3862700794892744
DANA EVANS,CHI,2021,G,Primary On-Ball Creator,220.4,-4.229836034217293,-0.5015757417764743
JASMINE THOMAS,CON,2021,G,Primary On-Ball Creator,888.0,-4.231506333408686,7.651469075828427
KRISTI TOLIVER,LAS,2011,G,Primary On-Ball Creator,755.2,-4.231543188550716,-0.36577006082524827
KATIE SMITH,DET,2009,G,Primary On-Ball Creator,893.7,-4.235577184612799,-2.8432382256113766
DAMIRIS DANTAS,ATL,2018,PowerF,Secondary Creator/Distributor,254.6,-4.235678330735201,-16.019318228286373
CAPPIE PONDEXTER,PHO,2008,G,Primary On-Ball Creator,1001.6,-4.238060498408632,-3.727548739056361
ARIKE OGUNBOWALE,DAL,2021,G,Primary On-Ball Creator,1004.8,-4.238269251882409,-2.354381183501784
CANDICE DUPREE,PHO,2016,F,Roller/Cutter,931.2,-4.240065847842925,-0.8807661625087171
BRITTNEY SYKES,WAS,2024,G,Primary On-Ball Creator,419.4,-4.240306943434558,1.3763092063820763
DALMA IVANYI,UTA,2000,G,Spot-up Shooter,488.7000000000001,-4.242357782633347,3.580468377190533
TIERRA RUFFIN-PRATT,WAS,2013,G,Secondary Creator/Distributor,503.2000000000001,-4.244096915513243,2.4914443193754403
ELAINE POWELL,DET,2007,G,Secondary Creator/Distributor,320.0,-4.245657249276759,-5.1280977267352235
KELLY SCHUMACHER,DET,2008,C,Roller/Cutter,88.89999999999999,-4.2492507898510885,-2.080047027702637
LADY GROOMS,SAC,2002,F,Roller/Cutter,851.2,-4.2533007038617585,-10.204635369835465
MORIAH JEFFERSON,DAL,2020,G,Secondary Creator/Distributor,150.29999999999998,-4.253961865631393,-17.18726300528008
LINDSEY HARDING,WAS,2009,G,Primary On-Ball Creator,1193.4,-4.254683229737401,5.021236154760517
TAMARA MOORE,HOU,2007,G,Secondary Creator/Distributor,280.5,-4.25555562125021,-8.775648768630408
REBECCA ALLEN,NYL,2021,SG,Spot-up Shooter,605.0,-4.256627413456933,-15.982368898475244
LEAONNA ODOM,NYL,2020,F,Roller/Cutter,453.2000000000001,-4.2567038725351525,4.11668269164892
SANIYA CHONG,DAL,2017,G,Secondary Creator/Distributor,363.0,-4.258207373445778,-4.659972286870686
RIQUNA WILLIAMS,TUL,2014,G,Primary On-Ball Creator,178.2,-4.260327879927791,-1.8666520105634694
ANDREA CONGREAVES,ORL,1999,PowerF,Secondary Creator/Distributor,809.6,-4.264313443024409,-6.507787297132657
JESSICA MOORE,IND,2009,PowerF,Roller/Cutter,604.5,-4.265652861201348,3.8781171337222693
BROOKE SMITH,PHO,2009,PowerF,Roller/Cutter,144.9,-4.266683386397959,-2.1366338089815375
TONYA EDWARDS,MIN,1999,G,Primary On-Ball Creator,1033.6,-4.267977859390857,5.594659577425796
SWIN CASH,SEA,2009,F,Perimeter-Oriented Big/Wing,1094.4,-4.2685379669281955,2.444235019435232
SHAMEKA CHRISTON,PHO,2015,G,Spot-up Shooter,75.6,-4.272413585853332,-3.2861620949488777
KYM HAMPTON,NYL,1998,C,Interior Primary Option,744.0,-4.275788408708958,6.178064953061403
SHAVONTE ZELLOUS,WAS,2021,G,Secondary Creator/Distributor,442.4,-4.275960842826484,-4.844775156886181
SCHOLANDA DORRELL,SAC,2007,G,Secondary Creator/Distributor,506.6,-4.279837236249102,-1.3204042080420866
ARMINTIE HERRINGTON,CHI,2007,G,Interior Primary Option,856.8,-4.281671336294953,-1.963677638625628
LINDSAY WISDOM-HYLTON,CHI,2011,F,Roller/Cutter,234.9,-4.282259104704371,-2.347847851040176
MARINA MABREY,DAL,2022,G,Primary On-Ball Creator,952.0,-4.285715605800831,-0.37778865668979433
NIKKI TEASLEY,LAS,2004,G,Spot-up Shooter,1105.0,-4.286266841191557,-20.56210162013798
NALYSSA SMITH,IND,2022,F,Perimeter-Oriented Big/Wing,982.4,-4.290585045577167,-6.207739308277359
KALEENA MOSQUEDA-LEWIS,SEA,2016,F,Spot-up Shooter,396.8,-4.291806255900985,2.4465088267347177
GLORY JOHNSON,TUL,2014,F,Interior Primary Option,1079.1,-4.303241794833147,-0.354929886698264
JEWELL LOYD,SEA,2015,G,Perimeter-Oriented Big/Wing,880.5999999999999,-4.305452608398724,-2.7087173016021144
LA'TANGELA ATKINSON,SAC,2008,SG,Roller/Cutter,72.5,-4.306992190715549,-0.9225445501375011
NICKY ANOSIKE,MIN,2010,PowerF,Interior Primary Option,926.9,-4.307407234996038,3.6060565857138043
DELISHA MILTON-JONES,ATL,2014,F,Secondary Creator/Distributor,342.3,-4.307863119739908,-6.134137774177282
ALEXIS HORNBUCKLE,DET,2009,G,Secondary Creator/Distributor,848.0,-4.309929812772478,6.772682635095368
TAMECKA DIXON,HOU,2007,G,Primary On-Ball Creator,489.6,-4.310184381250869,3.0890135554132754
NOELLE QUINN,MIN,2008,G,Secondary Creator/Distributor,531.2,-4.311000539745585,-6.236388820875212
SYLVIA CRAWLEY,POR,2000,F,Perimeter-Oriented Big/Wing,930.0,-4.311701917504678,-6.1378260833921665
SOPHIA YOUNG-MALCOLM,SAN,2015,F,Interior Primary Option,931.6,-4.315121536326948,-5.680307096978428
TULLY BEVILAQUA,POR,2000,G,Spot-up Shooter,796.8,-4.315682327885083,-0.036366869948616376
CYNTHIA COOPER,HOU,2000,G,Primary On-Ball Creator,1085.0,-4.316795386357447,2.3289277761590736
KAYLA ALEXANDER,SAN,2016,C,Interior Primary Option,490.00000000000006,-4.316823671766137,-1.1081346300543267
JANEL MCCARVILLE,NYL,2010,PowerF,Roller/Cutter,965.6,-4.32064934164344,5.383303028973137
ESSENCE CARSON,PHO,2019,G,Secondary Creator/Distributor,425.5,-4.321034736764303,1.0952677939763213
ASJHA JONES,CON,2010,F,Perimeter-Oriented Big/Wing,774.0,-4.321869062390093,-0.8350953493404889
MONIQUE CURRIE,PHO,2015,F,Secondary Creator/Distributor,724.2,-4.3233455102473775,4.3961649903305045
ADRIENNE GOODSON,SAN,2003,F,Perimeter-Oriented Big/Wing,970.2,-4.324541882479826,6.081862016801423
SYLVIA FOWLES,CHI,2008,C,Interior Primary Option,425.0,-4.326919569491562,-5.9247379206655575
TIERRA RUFFIN-PRATT,WAS,2015,G,Secondary Creator/Distributor,764.8,-4.327770315122455,0.5087509826709481
KRISTINE ANIGWE,LAS,2021,PowerF,Roller/Cutter,136.0,-4.328582938244111,0.05249915387879778
RENEE MONTGOMERY,ATL,2019,G,Spot-up Shooter,948.6,-4.3287420550138345,-4.148852832158644
SIKA KONÉ,CHI,2023,F,Interior Primary Option,186.0,-4.33273838142832,-5.183793776440558
STACEY LOVELACE,SEA,2000,C,Interior Primary Option,324.3,-4.3347764532717274,-3.032329677125511
NAPHEESA COLLIER,MIN,2022,F,Roller/Cutter,90.8,-4.334895073697307,-7.288167025531714
DORKA JUHÁSZ,MIN,2024,F,Roller/Cutter,547.4000000000001,-4.335345479080411,6.18815226817927
ERIN PERPEROGLOU,MIN,2001,F,Secondary Creator/Distributor,726.4,-4.338898732530959,-1.5746923372718187
KRISTI HARROWER,MIN,2005,G,Spot-up Shooter,829.5999999999999,-4.344168688347129,-2.729441469817111
KELSEY MITCHELL,IND,2021,G,Primary On-Ball Creator,1059.2,-4.348152259915626,-2.304288968505906
KIESHA BROWN,WAS,2002,G,Secondary Creator/Distributor,108.0,-4.351935803626052,15.83279780442976
SWIN CASH,SEA,2008,F,Perimeter-Oriented Big/Wing,926.9,-4.352492231877777,5.556721616148829
ANN WAUTERS,CLE,2000,C,Interior Primary Option,573.5,-4.356558092167312,9.740184707786103
KELLY MILLER,ATL,2010,G,Spot-up Shooter,491.99999999999994,-4.359133835085477,0.2602483803911557
ERIN THORN,NYL,2005,G,Spot-up Shooter,201.6,-4.366860558783529,-6.312862346853991
PLENETTE PIERSON,MIN,2017,F,Secondary Creator/Distributor,465.7999999999999,-4.367030407876802,6.727774387310083
ALLISON HIGHTOWER,CON,2014,G,Secondary Creator/Distributor,334.59999999999997,-4.367573947083158,-2.866144840564375
TINA THOMPSON,LAS,2011,F,Primary On-Ball Creator,850.0,-4.36997418125907,-1.7176806445593562
ERIN PERPEROGLOU,CHA,2003,F,Roller/Cutter,44.8,-4.370578186301751,-9.938832143403692
ALANA BEARD,WAS,2005,SG,Primary On-Ball Creator,1017.0,-4.372776786752474,0.2995068221751669
JENNIFER AZZI,SAN,2003,G,Spot-up Shooter,1135.6,-4.373089661612528,-1.5874169729794816
SIDNEY SPENCER,PHO,2011,G,Spot-up Shooter,177.60000000000002,-4.374256070764428,0.5029015569993689
KATIE MATTERA,DET,2007,C,Roller/Cutter,472.6,-4.374881833687036,2.446923670774958
RACHEL BANHAM,CON,2016,G,Spot-up Shooter,163.5,-4.380111128172807,0.5048025620731087
MARISSA COLEMAN,IND,2014,SG,Spot-up Shooter,816.0,-4.380594996655398,1.074305923293777
BARBARA TURNER,HOU,2007,SG,Secondary Creator/Distributor,261.8,-4.3813273169503475,-3.937594870875462
KAYLA PEDERSEN,CON,2013,F,Roller/Cutter,431.7999999999999,-4.382305694094383,2.4369826333067177
COCO MILLER,WAS,2005,G,Secondary Creator/Distributor,503.2000000000001,-4.384312762595821,-4.7768404784959735
IVORY LATTA,ATL,2008,G,Primary On-Ball Creator,958.8,-4.3849334145567465,-10.845015787606023
NICOLE POWELL,SAC,2008,F,Primary On-Ball Creator,945.2,-4.386221550152721,0.11176641732415249
MICHELLE CAMPBELL,UTA,1999,C,Roller/Cutter,29.6,-4.387890269644,-0.5494869719456688
ASJHA JONES,CON,2005,F,Perimeter-Oriented Big/Wing,709.5,-4.395114947888036,0.8587631546909607
PLENETTE PIERSON,DET,2006,F,Interior Primary Option,567.8,-4.39771404742219,-0.26331146240732917
KRISTI TOLIVER,CHI,2009,G,Spot-up Shooter,386.1,-4.400643195825927,-0.07688834820605717
KAYLA ALEXANDER,SAN,2015,C,Roller/Cutter,356.70000000000005,-4.401555186686397,6.483173251023
RIQUNA WILLIAMS,TUL,2012,G,Primary On-Ball Creator,669.9,-4.402762443875395,-0.8255537679676108
DAWN STALEY,CHA,1999,G,Primary On-Ball Creator,1065.6,-4.403678216877599,3.721568998930906
HAMCHETOU MAIGA-BA,SAC,2006,F,Roller/Cutter,533.8,-4.404186598409882,3.812174560600856
MONICA LAMB,HOU,1999,C,Roller/Cutter,36.3,-4.406557556047447,-4.331713489626965
KASHA TERRY,IND,2006,PowerF,Interior Primary Option,54.0,-4.408079630206993,-26.324607218101804
CHEYENNE PARKER-TYUS,CHI,2017,F,Roller/Cutter,285.2,-4.415314382264948,-5.6973972201830945
TRICIA BADER BINFORD,UTA,1998,G,Spot-up Shooter,209.0,-4.417674594569578,-0.06633322647276185
