,Player,Team,Archetype,year
4277,TIFFANY MITCHELL,MIN,Secondary Creator/Distributor,2023
4311,AERIAL POWERS,MIN,Secondary Creator/Distributor,2023
4276,NYARA SABALLY,NYL,Roller/Cutter,2023
4293,JADE MELBOURNE,SEA,Secondary Creator/Distributor,2023
4286,NALYSSA SMITH,IND,Interior Primary Option,2023
4310,YVONNE TURNER,SEA,Secondary Creator/Distributor,2023
4302,LEIGHA BROWN,CON,Secondary Creator/Distributor,2023
4295,LINDSAY ALLEN,MIN,Secondary Creator/Distributor,2023
4309,LAETICIA AMIHERE,ATL,Roller/Cutter,2023
4308,JESSICA SHEPARD,MIN,Roller/Cutter,2023
4307,STEFANIE DOLSON,NYL,Perimeter-Oriented Big,2023
4306,IVANA DOJKIĆ,SEA,Secondary Creator/Distributor,2023
4304,LAYSHIA CLARENDON,LAS,Primary On-Ball Creator,2023
4303,AARI MCDONALD,ATL,Secondary Creator/Distributor,2023
4305,ELENA DELLE DONNE,WAS,Primary On-Ball Creator,2023
4301,DIANA TAURASI,PHO,Primary On-Ball Creator,2023
4300,ARIEL ATKINS,WAS,Primary On-Ball Creator,2023
4299,SYDNEY COLSON,LVA,Secondary Creator/Distributor,2023
4298,ODYSSEY SIMS,DAL,Secondary Creator/Distributor,2023
4297,MORGAN BERTSCH,CHI,Perimeter-Oriented Big,2023
4296,RAE BURRELL,LAS,Spot-up Shooter,2023
4089,MEGAN GUSTAFSON,PHO,Perimeter-Oriented Big,2022
4081,ALLISHA GRAY,DAL,Primary On-Ball Creator,2022
4088,JONQUEL JONES,CON,Interior Primary Option,2022
4087,EZI MAGBEGOR,SEA,Interior Primary Option,2022
4086,EPIPHANNY PRINCE,SEA,Secondary Creator/Distributor,2022
4085,DEWANNA BONNER,CON,Primary On-Ball Creator,2022
4084,DANA EVANS,CHI,Secondary Creator/Distributor,2022
4083,CRYSTAL DANGERFIELD,NYL,Secondary Creator/Distributor,2022
4082,AWAK KUIER,DAL,Perimeter-Oriented Big,2022
4073,NATASHA CLOUD,WAS,Secondary Creator/Distributor,2022
4080,TINA CHARLES,SEA,Interior Primary Option,2022
4079,TIFFANY MITCHELL,IND,Perimeter-Oriented Big,2022
4078,STEPHANIE TALBOT,SEA,Spot-up Shooter,2022
4077,SHEY PEDDY,PHO,Spot-up Shooter,2022
4076,RHYNE HOWARD,ATL,Primary On-Ball Creator,2022
4075,NNEKA OGWUMIKE,LAS,Interior Primary Option,2022
4072,MYISHA HINES-ALLEN,WAS,Interior Primary Option,2022
4074,NAZ HILLMON,ATL,Roller/Cutter,2022
4091,TEAIRA MCCOWAN,DAL,Interior Primary Option,2022
4090,QUEEN EGBO,IND,Roller/Cutter,2022
4108,SUE BIRD,SEA,Spot-up Shooter,2022
4092,BRITTNEY SYKES,LAS,Primary On-Ball Creator,2022
4093,CANDACE PARKER,CHI,Primary On-Ball Creator,2022
4110,ARIKE OGUNBOWALE,DAL,Primary On-Ball Creator,2022
4070,MARINA MABREY,DAL,Primary On-Ball Creator,2022
4109,THERESA PLAISANCE,LVA,Spot-up Shooter,2022
4107,NIKOLINA MILIĆ,MIN,Interior Primary Option,2022
4106,MORIAH JEFFERSON,MIN,Secondary Creator/Distributor,2022
4105,KIAH STOKES,LVA,Perimeter-Oriented Big,2022
4104,KELSEY MITCHELL,IND,Primary On-Ball Creator,2022
4103,KAYLA MCBRIDE,MIN,Primary On-Ball Creator,2022
4102,KAHLEAH COPPER,CHI,Primary On-Ball Creator,2022
4101,DIANA TAURASI,PHO,Primary On-Ball Creator,2022
4100,DANIELLE ROBINSON,IND,Secondary Creator/Distributor,2022
4099,NALYSSA SMITH,IND,Interior Primary Option,2022
4098,KATIE LOU SAMUELSON,LAS,Spot-up Shooter,2022
4097,JORDIN CANADA,LAS,Secondary Creator/Distributor,2022
4096,JASMINE WALKER,LAS,Perimeter-Oriented Big,2022
4095,HAN XU,NYL,Perimeter-Oriented Big,2022
4094,COURTNEY VANDERSLOOT,CHI,Secondary Creator/Distributor,2022
4071,MICHAELA ONYENWERE,NYL,Perimeter-Oriented Big,2022
4032,ARIEL ATKINS,WAS,Primary On-Ball Creator,2022
4069,LEXIE BROWN,LAS,Spot-up Shooter,2022
4048,SABRINA IONESCU,NYL,Primary On-Ball Creator,2022
4046,RACHEL BANHAM,MIN,Spot-up Shooter,2022
4045,NATISHA HIEDEMAN,CON,Spot-up Shooter,2022
4044,KELSEY PLUM,LVA,Primary On-Ball Creator,2022
4043,KAYLA THORNTON,DAL,Perimeter-Oriented Big,2022
4042,JEWELL LOYD,SEA,Primary On-Ball Creator,2022
4041,JESSICA SHEPARD,MIN,Roller/Cutter,2022
4040,GABBY WILLIAMS,SEA,Perimeter-Oriented Big,2022
4039,EMMA MEESSEMAN,CHI,Interior Primary Option,2022
4038,DIJONAI CARRINGTON,CON,Perimeter-Oriented Big,2022
4037,DESTANNI HENDERSON,IND,Secondary Creator/Distributor,2022
4036,CHEYENNE PARKER-TYUS,ATL,Interior Primary Option,2022
