,Player,Team,Archetype,year
4189,ANGEL MCCOUGHTRY,MIN,Interior Primary Option,2022
4188,RAE BURRELL,LAS,Spot-up Shooter,2022
4187,KATIE BENZAN,WAS,Spot-up Shooter,2022
4186,KAMIAH SMALLS,MIN,Secondary Creator/Distributor,2022
4185,HANNAH SJERVEN,MIN,Roller/Cutter,2022
4184,ELISSA CUNANE,MIN,Roller/Cutter,2022
4183,DESTINY SLOCUM,ATL,Spot-up Shooter,2022
4182,NAPHEESA COLLIER,MIN,Perimeter-Oriented Big,2022
4181,KIANA WILLIAMS,CON,Secondary Creator/Distributor,2022
4180,ANNELI MALEY,CHI,Spot-up Shooter,2022
4179,AMY ATWELL,LAS,Secondary Creator/Distributor,2022
4178,STEPHANIE JONES,CON,Perimeter-Oriented Big,2022
4156,MEGAN WALKER,ATL,Secondary Creator/Distributor,2022
4192,KAILA CHARLES,ATL,Roller/Cutter,2022
4154,DIDI RICHARDS,NYL,Perimeter-Oriented Big,2022
4133,CHENNEDY CARTER,LAS,Interior Primary Option,2022
4131,REBECCA ALLEN,NYL,Spot-up Shooter,2022
4130,LIZ CAMBAGE,LAS,Interior Primary Option,2022
4129,JULIE ALLEMAND,CHI,Secondary Creator/Distributor,2022
4128,ELENA DELLE DONNE,WAS,Interior Primary Option,2022
4127,ASIA (AD) DURR,ATL,Primary On-Ball Creator,2022
4126,LEXIE HULL,IND,Spot-up Shooter,2022
4125,JOYNER HOLMES,CON,Secondary Creator/Distributor,2022
4124,CHINEY OGWUMIKE,LAS,Interior Primary Option,2022
4123,RESHANDA GRAY,PHO,Perimeter-Oriented Big,2022
4122,JANTEL LAVENDER,SEA,Perimeter-Oriented Big,2022
4121,SOPHIE CUNNINGHAM,PHO,Spot-up Shooter,2022
4120,NIA CLOUDEN,CON,Secondary Creator/Distributor,2022
4119,KRISTY WALLACE,ATL,Spot-up Shooter,2022
4118,KIA VAUGHN,ATL,Roller/Cutter,2022
4117,ALYSHA CLARK,WAS,Spot-up Shooter,2022
4116,SYLVIA FOWLES,MIN,Interior Primary Option,2022
4153,DAMIRIS DANTAS,MIN,Spot-up Shooter,2022
4132,TIANNA HAWKINS,WAS,Perimeter-Oriented Big,2022
4115,SKYLAR DIGGINS,PHO,Primary On-Ball Creator,2022
4134,EMMA CANNON,IND,Perimeter-Oriented Big,2022
4144,RIQUNA WILLIAMS,LVA,Spot-up Shooter,2022
4152,NIA COFFEY,ATL,Perimeter-Oriented Big,2022
4151,LI YUERU,CHI,Roller/Cutter,2022
4150,KENNEDY BURKE,WAS,Perimeter-Oriented Big,2022
4149,ILIANA RUPERT,LVA,Spot-up Shooter,2022
4148,CHARLI COLLIER,DAL,Roller/Cutter,2022
4146,JASMINE DICKEY,DAL,Perimeter-Oriented Big,2022
4145,EVINA WESTBROOK,WAS,Spot-up Shooter,2022
4147,SYDNEY COLSON,LVA,Secondary Creator/Distributor,2022
4143,KIERSTAN BELL,LVA,Spot-up Shooter,2022
4139,JENNIE SIMMS,PHO,Perimeter-Oriented Big,2022
4142,BEATRICE MOMPREMIER,ATL,Roller/Cutter,2022
4137,SAM THOMAS,PHO,Spot-up Shooter,2022
4138,AISHA SHEPPARD,LVA,Perimeter-Oriented Big,2022
4136,RUTHY HEBARD,CHI,Roller/Cutter,2022
4140,MONIQUE BILLINGS,ATL,Roller/Cutter,2022
4141,NATALIE ACHONWA,MIN,Roller/Cutter,2022
4135,MARINE JOHANNÈS,NYL,Spot-up Shooter,2022
3922,KAILA CHARLES,CON,Perimeter-Oriented Big,2021
3930,STEPHANIE TALBOT,SEA,Spot-up Shooter,2021
3929,SOPHIE CUNNINGHAM,PHO,Spot-up Shooter,2021
3928,SAMI WHITCOMB,NYL,Spot-up Shooter,2021
3927,SABRINA IONESCU,NYL,Primary On-Ball Creator,2021
3926,RUTHY HEBARD,CHI,Roller/Cutter,2021
3925,ODYSSEY SIMS,ATL,Secondary Creator/Distributor,2021
3924,MERCEDES RUSSELL,SEA,Roller/Cutter,2021
3913,THERESA PLAISANCE,WAS,Spot-up Shooter,2021
3921,JASMINE THOMAS,CON,Secondary Creator/Distributor,2021
3920,EZI MAGBEGOR,SEA,Perimeter-Oriented Big,2021
3919,BRITTNEY GRINER,PHO,Interior Primary Option,2021
3918,AZURÁ STEVENS,CHI,Perimeter-Oriented Big,2021
3917,ARIEL ATKINS,WAS,Primary On-Ball Creator,2021
3916,AMANDA ZAHUI B,LAS,Perimeter-Oriented Big,2021
3915,AARI MCDONALD,ATL,Secondary Creator/Distributor,2021
3914,VICTORIA VIVIANS,IND,Spot-up Shooter,2021
3931,SUE BIRD,SEA,Spot-up Shooter,2021
3940,BREANNA STEWART,SEA,Interior Primary Option,2021
3932,BRIANN JANUARY,CON,Secondary Creator/Distributor,2021
3943,KIA VAUGHN,PHO,Roller/Cutter,2021
3911,SYLVIA FOWLES,MIN,Interior Primary Option,2021
3949,JONQUEL JONES,CON,Interior Primary Option,2021
3948,JAZMINE JONES,NYL,Secondary Creator/Distributor,2021
3947,JANTEL LAVENDER,IND,Perimeter-Oriented Big,2021
3946,TIFFANY MITCHELL,IND,Primary On-Ball Creator,2021
3945,TIANNA HAWKINS,ATL,Perimeter-Oriented Big,2021
3944,SHAVONTE ZELLOUS,WAS,Secondary Creator/Distributor,2021
3942,ISABELLE HARRISON,DAL,Roller/Cutter,2021
3933,DANA EVANS,CHI,Secondary Creator/Distributor,2021
3941,CHARLI COLLIER,DAL,Roller/Cutter,2021
3939,NAPHEESA COLLIER,MIN,Interior Primary Option,2021
3938,MORIAH JEFFERSON,DAL,Secondary Creator/Distributor,2021
3937,MEGAN WALKER,PHO,Spot-up Shooter,2021
3936,JORDIN CANADA,SEA,Secondary Creator/Distributor,2021
3935,EPIPHANNY PRINCE,SEA,Secondary Creator/Distributor,2021
3934,DEARICA HAMBY,LVA,Interior Primary Option,2021
3912,TE'A COOPER,LAS,Secondary Creator/Distributor,2021
3891,KAYLA MCBRIDE,MIN,Spot-up Shooter,2021
3910,MONIQUE BILLINGS,ATL,Roller/Cutter,2021
3881,BRITTNEY SYKES,LAS,Perimeter-Oriented Big,2021
3888,ERICA WHEELER,LAS,Primary On-Ball Creator,2021
3887,ELIZABETH WILLIAMS,ATL,Roller/Cutter,2021
3886,DIAMOND DESHIELDS,CHI,Primary On-Ball Creator,2021
3885,DEWANNA BONNER,CON,Primary On-Ball Creator,2021
3884,COURTNEY WILLIAMS,ATL,Primary On-Ball Creator,2021
3883,COURTNEY VANDERSLOOT,CHI,Secondary Creator/Distributor,2021
3882,CHELSEA GRAY,LVA,Secondary Creator/Distributor,2021
3880,BRIONNA JONES,CON,Interior Primary Option,2021
3909,LEILANI MITCHELL,WAS,Spot-up Shooter,2021
3879,BRIDGET CARLETON,MIN,Spot-up Shooter,2021
3878,BRIANNA TURNER,PHO,Roller/Cutter,2021
3877,BETNIJAH LANEY-HAMILTON,NYL,Primary On-Ball Creator,2021
3876,BEATRICE MOMPREMIER,CON,Roller/Cutter,2021
3875,ARIKE OGUNBOWALE,DAL,Primary On-Ball Creator,2021
3874,A'JA WILSON,LVA,Interior Primary Option,2021
3951,NATASHA CLOUD,WAS,Secondary Creator/Distributor,2021
3889,JACKIE YOUNG,LVA,Perimeter-Oriented Big,2021
3890,KAHLEAH COPPER,CHI,Primary On-Ball Creator,2021
3892,KELSEY MITCHELL,IND,Primary On-Ball Creator,2021
3893,KIA NURSE,PHO,Spot-up Shooter,2021
3908,KAYLA THORNTON,DAL,Perimeter-Oriented Big,2021
3907,JEWELL LOYD,SEA,Primary On-Ball Creator,2021
3906,DIDI RICHARDS,NYL,Perimeter-Oriented Big,2021
3905,CRYSTAL DANGERFIELD,MIN,Secondary Creator/Distributor,2021
3904,BELLA ALARIE,DAL,Roller/Cutter,2021
3903,TYASHA HARRIS,DAL,Secondary Creator/Distributor,2021
3902,TEAIRA MCCOWAN,IND,Roller/Cutter,2021
3901,SKYLAR DIGGINS,PHO,Primary On-Ball Creator,2021
3900,SHEY PEDDY,PHO,Spot-up Shooter,2021
3899,RIQUNA WILLIAMS,LVA,Spot-up Shooter,2021
3898,NIA COFFEY,LAS,Spot-up Shooter,2021
3897,NATISHA HIEDEMAN,CON,Spot-up Shooter,2021
3896,MICHAELA ONYENWERE,NYL,Spot-up Shooter,2021
3895,MARINA MABREY,DAL,Primary On-Ball Creator,2021
3894,LINDSAY ALLEN,IND,Secondary Creator/Distributor,2021
3950,KATIE LOU SAMUELSON,SEA,Spot-up Shooter,2021
3923,KYLEE SHOOK,NYL,Perimeter-Oriented Big,2021
3952,RACHEL BANHAM,MIN,Spot-up Shooter,2021
4000,KARLIE SAMUELSON,SEA,Spot-up Shooter,2021
4007,BLAKE DIETRICK,ATL,Spot-up Shooter,2021
4006,KRISTINE ANIGWE,LAS,Roller/Cutter,2021
4005,KIANA WILLIAMS,SEA,Secondary Creator/Distributor,2021
4004,MEGAN GUSTAFSON,WAS,Roller/Cutter,2021
4003,CHENNEDY CARTER,ATL,Interior Primary Option,2021
4002,NATASHA HOWARD,NYL,Interior Primary Option,2021
4001,CHEYENNE PARKER-TYUS,ATL,Perimeter-Oriented Big,2021
3999,CIERRA BURDICK,SEA,Roller/Cutter,2021
4009,BERNADETT HATÁR,IND,Roller/Cutter,2021
3998,CHELSEA DUNGEE,DAL,Secondary Creator/Distributor,2021
3997,AERIAL POWERS,MIN,Primary On-Ball Creator,2021
3996,AALIYAH WILSON,IND,Perimeter-Oriented Big,2021
3995,RESHANDA GRAY,NYL,Roller/Cutter,2021
3994,DIANA TAURASI,PHO,Primary On-Ball Creator,2021
3993,AWAK KUIER,DAL,Perimeter-Oriented Big,2021
3992,SHATORI WALKER-KIMBROUGH,WAS,Spot-up Shooter,2021
4008,KIARA LESLIE,WAS,Perimeter-Oriented Big,2021
4010,CHINEY OGWUMIKE,LAS,Interior Primary Option,2021
3990,LEXIE BROWN,CHI,Spot-up Shooter,2021
4020,ALYSSA THOMAS,CON,Roller/Cutter,2021
4028,MIKIAH HERBERT HARRIGAN,SEA,Secondary Creator/Distributor,2021
4027,LINNAE HARPER,MIN,Roller/Cutter,2021
4026,KALANI BROWN,ATL,Roller/Cutter,2021
4024,ALEAH GOODMAN,CON,Secondary Creator/Distributor,2021
4023,JILLIAN ALLEYNE,MIN,Roller/Cutter,2021
4022,JASMINE WALKER,LAS,Secondary Creator/Distributor,2021
4021,BRITTANY BOYD-JONES,CHI,Secondary Creator/Distributor,2021
4019,HALEY GORECKI,PHO,Secondary Creator/Distributor,2021
4011,BRIA HARTLEY,PHO,Perimeter-Oriented Big,2021
4018,ELENA DELLE DONNE,WAS,Interior Primary Option,2021
4017,SHYLA HEAL,CHI,Secondary Creator/Distributor,2021
4016,NATASHA MACK,MIN,Roller/Cutter,2021
4015,JOYNER HOLMES,LVA,Spot-up Shooter,2021
4014,STEPHANIE WATTS,CHI,Perimeter-Oriented Big,2021
4013,STELLA JOHNSON,WAS,Secondary Creator/Distributor,2021
4012,CHELSEY PERRY,IND,Perimeter-Oriented Big,2021
3991,SATOU SABALLY,DAL,Interior Primary Option,2021
4025,ANGEL MCCOUGHTRY,LVA,Primary On-Ball Creator,2021
3989,STEPHANIE JONES,CON,Roller/Cutter,2021
3962,JISU PARK,LVA,Roller/Cutter,2021
3969,KIAH STOKES,LVA,Perimeter-Oriented Big,2021
3968,DIJONAI CARRINGTON,CON,Perimeter-Oriented Big,2021
3967,DANIELLE ROBINSON,IND,Secondary Creator/Distributor,2021
3966,DAMIRIS DANTAS,MIN,Spot-up Shooter,2021
3965,CRYSTAL BRADFORD,ATL,Spot-up Shooter,2021
3964,REBECCA ALLEN,NYL,Spot-up Shooter,2021
3963,LIZ CAMBAGE,LVA,Interior Primary Option,2021
3961,ARELLA GUIRANTES,LAS,Perimeter-Oriented Big,2021
3971,STEFANIE DOLSON,CHI,Perimeter-Oriented Big,2021
3960,ALLISHA GRAY,DAL,Primary On-Ball Creator,2021
3959,LAUREN COX,LAS,Perimeter-Oriented Big,2021
3958,KELSEY PLUM,LVA,Primary On-Ball Creator,2021
3957,JESSICA BRELAND,IND,Perimeter-Oriented Big,2021
3956,CANDICE DUPREE,ATL,Perimeter-Oriented Big,2021
3954,TINA CHARLES,WAS,Interior Primary Option,2021
3988,NNEKA OGWUMIKE,LAS,Interior Primary Option,2021
3970,SHEKINNA STRICKLEN,ATL,Spot-up Shooter,2021
3955,ALLIE QUIGLEY,CHI,Primary On-Ball Creator,2021
3972,CANDACE PARKER,CHI,Interior Primary Option,2021
3980,ASTOU NDOUR-FALL,CHI,Perimeter-Oriented Big,2021
3973,ERICA MCCALL,WAS,Roller/Cutter,2021
3986,LEAONNA ODOM,NYL,Perimeter-Oriented Big,2021
3987,MYISHA HINES-ALLEN,WAS,Interior Primary Option,2021
3985,ALANNA SMITH,PHO,Perimeter-Oriented Big,2021
3984,KYSRE GONDREZICK,IND,Secondary Creator/Distributor,2021
3982,BRIA HOLMES,LVA,Perimeter-Oriented Big,2021
3981,EMMA CANNON,IND,Perimeter-Oriented Big,2021
3983,KRISTI TOLIVER,LAS,Spot-up Shooter,2021
3953,SYDNEY WIESE,WAS,Spot-up Shooter,2021
3979,TIFFANY HAYES,ATL,Primary On-Ball Creator,2021
3978,NATALIE ACHONWA,MIN,Roller/Cutter,2021
3977,DESTINY SLOCUM,LVA,Spot-up Shooter,2021
3976,LAYSHIA CLARENDON,MIN,Secondary Creator/Distributor,2021
3975,JESSICA SHEPARD,MIN,Perimeter-Oriented Big,2021
3974,KENNEDY BURKE,SEA,Perimeter-Oriented Big,2021
3774,SHEKINNA STRICKLEN,ATL,Spot-up Shooter,2020
3780,BEATRICE MOMPREMIER,CON,Roller/Cutter,2020
3779,AMANDA ZAHUI B,NYL,Perimeter-Oriented Big,2020
3778,ALYSSA THOMAS,CON,Interior Primary Option,2020
3777,TEAIRA MCCOWAN,IND,Interior Primary Option,2020
3776,SUGAR RODGERS,LVA,Spot-up Shooter,2020
3775,SKYLAR DIGGINS,PHO,Primary On-Ball Creator,2020
3767,MONIQUE BILLINGS,ATL,Roller/Cutter,2020
3773,SAMI WHITCOMB,SEA,Spot-up Shooter,2020
3772,RUTHY HEBARD,CHI,Roller/Cutter,2020
3771,NATISHA HIEDEMAN,CON,Secondary Creator/Distributor,2020
3770,NATASHA HOWARD,SEA,Interior Primary Option,2020
3769,NAPHEESA COLLIER,MIN,Interior Primary Option,2020
3768,MYISHA HINES-ALLEN,WAS,Interior Primary Option,2020
3766,MERCEDES RUSSELL,SEA,Roller/Cutter,2020
3781,BRIONNA JONES,CON,Interior Primary Option,2020
3789,RIQUNA WILLIAMS,LAS,Spot-up Shooter,2020
3782,BRITTNEY SYKES,LAS,Primary On-Ball Creator,2020
3783,CRYSTAL DANGERFIELD,MIN,Primary On-Ball Creator,2020
3798,COURTNEY WILLIAMS,ATL,Primary On-Ball Creator,2020
3764,LEAONNA ODOM,NYL,Perimeter-Oriented Big,2020
3797,CHEYENNE PARKER-TYUS,CHI,Interior Primary Option,2020
3796,BREANNA STEWART,SEA,Interior Primary Option,2020
3795,ALLISHA GRAY,DAL,Primary On-Ball Creator,2020
3794,ALAINA COATES,WAS,Roller/Cutter,2020
3793,TYASHA HARRIS,DAL,Secondary Creator/Distributor,2020
3792,SOPHIE CUNNINGHAM,PHO,Spot-up Shooter,2020
3791,SHATORI WALKER-KIMBROUGH,PHO,Secondary Creator/Distributor,2020
3790,SEIMONE AUGUSTUS,LAS,Perimeter-Oriented Big,2020
3788,MIKIAH HERBERT HARRIGAN,MIN,Perimeter-Oriented Big,2020
3787,LINDSAY ALLEN,LVA,Secondary Creator/Distributor,2020
3786,KIA NURSE,NYL,Primary On-Ball Creator,2020
3785,KAILA CHARLES,CON,Perimeter-Oriented Big,2020
3784,ESSENCE CARSON,CON,Perimeter-Oriented Big,2020
3765,LEILANI MITCHELL,WAS,Secondary Creator/Distributor,2020
3745,DAMIRIS DANTAS,MIN,Perimeter-Oriented Big,2020
3763,KIAH STOKES,NYL,Spot-up Shooter,2020
3762,KIA VAUGHN,PHO,Roller/Cutter,2020
3742,CAROLYN SWORDS,LVA,Roller/Cutter,2020
3741,CANDICE DUPREE,IND,Interior Primary Option,2020
3740,CANDACE PARKER,LAS,Interior Primary Option,2020
3739,BRIDGET CARLETON,MIN,Spot-up Shooter,2020
3738,BRIANNA TURNER,PHO,Roller/Cutter,2020
3737,BLAKE DIETRICK,ATL,Secondary Creator/Distributor,2020
3736,BETNIJAH LANEY-HAMILTON,ATL,Primary On-Ball Creator,2020
3735,BELLA ALARIE,DAL,Perimeter-Oriented Big,2020
3734,ARIKE OGUNBOWALE,DAL,Primary On-Ball Creator,2020
3733,ARIEL ATKINS,WAS,Primary On-Ball Creator,2020
3732,ANGEL MCCOUGHTRY,LVA,Interior Primary Option,2020
3731,ALYSHA CLARK,SEA,Spot-up Shooter,2020
3730,ALLIE QUIGLEY,CHI,Primary On-Ball Creator,2020
3729,A'JA WILSON,LVA,Interior Primary Option,2020
3800,ERICA MCCALL,MIN,Roller/Cutter,2020
3743,CHELSEA GRAY,LAS,Primary On-Ball Creator,2020
3744,COURTNEY VANDERSLOOT,CHI,Secondary Creator/Distributor,2020
3746,DANIELLE ROBINSON,LVA,Perimeter-Oriented Big,2020
3755,JULIE ALLEMAND,IND,Spot-up Shooter,2020
3761,KENNEDY BURKE,IND,Perimeter-Oriented Big,2020
3760,KELSEY MITCHELL,IND,Primary On-Ball Creator,2020
3759,KAYLA THORNTON,DAL,Spot-up Shooter,2020
3758,KAYLA MCBRIDE,LVA,Primary On-Ball Creator,2020
3757,KATIE LOU SAMUELSON,DAL,Spot-up Shooter,2020
3756,KAHLEAH COPPER,CHI,Primary On-Ball Creator,2020
3754,JOCELYN WILLOUGHBY,NYL,Perimeter-Oriented Big,2020
3747,DEWANNA BONNER,CON,Primary On-Ball Creator,2020
3753,JEWELL LOYD,SEA,Primary On-Ball Creator,2020
3752,JACKIE YOUNG,LVA,Perimeter-Oriented Big,2020
3751,GABBY WILLIAMS,CHI,Spot-up Shooter,2020
3750,EZI MAGBEGOR,SEA,Roller/Cutter,2020
3749,ELIZABETH WILLIAMS,ATL,Roller/Cutter,2020
3748,DEARICA HAMBY,LVA,Perimeter-Oriented Big,2020
3799,EMMA MEESSEMAN,WAS,Interior Primary Option,2020
3801,JAZMINE JONES,NYL,Primary On-Ball Creator,2020
3856,STEPHANIE MAVUNGA,CHI,Roller/Cutter,2020
3838,AZURÁ STEVENS,CHI,Spot-up Shooter,2020
3855,RESHANDA GRAY,LAS,Roller/Cutter,2020
3854,MORGAN TUCK,SEA,Spot-up Shooter,2020
3853,KALANI BROWN,ATL,Roller/Cutter,2020
3852,SUE BIRD,SEA,Spot-up Shooter,2020
3851,PARIS KEA,NYL,Secondary Creator/Distributor,2020
3850,SUG SUTTON,WAS,Secondary Creator/Distributor,2020
3849,MARIE GÜLICH,LAS,Roller/Cutter,2020
3848,JAYLYN AGNEW,ATL,Spot-up Shooter,2020
3847,BRITTNEY GRINER,PHO,Interior Primary Option,2020
3845,ODYSSEY SIMS,MIN,Secondary Creator/Distributor,2020
3844,ISABELLE HARRISON,DAL,Roller/Cutter,2020
3843,DIAMOND DESHIELDS,CHI,Primary On-Ball Creator,2020
3842,CRYSTAL LANGHORNE,SEA,Roller/Cutter,2020
3841,CIERRA BURDICK,LVA,Roller/Cutter,2020
3840,BRIANN JANUARY,CON,Secondary Creator/Distributor,2020
3857,MEGAN GUSTAFSON,DAL,Roller/Cutter,2020
3858,MORIAH JEFFERSON,DAL,Secondary Creator/Distributor,2020
3859,STELLA JOHNSON,WAS,Perimeter-Oriented Big,2020
3868,AVERY WARLEY-TALBERT,LVA,Roller/Cutter,2020
3802,JORDIN CANADA,SEA,Secondary Creator/Distributor,2020
3873,EMMA CANNON,LVA,Secondary Creator/Distributor,2020
3872,KARIMA CHRISTMAS-KELLY,MIN,Secondary Creator/Distributor,2020
3871,KAELA DAVIS,ATL,Secondary Creator/Distributor,2020
3870,ALEXIS PRINCE,CHI,Spot-up Shooter,2020
3869,SABRINA IONESCU,NYL,Primary On-Ball Creator,2020
3867,BRITTANY BREWER,ATL,Roller/Cutter,2020
3860,KAMIAH SMALLS,IND,Spot-up Shooter,2020
3866,ALISIA JENKINS,PHO,Roller/Cutter,2020
3865,VICTORIA VIVIANS,IND,Secondary Creator/Distributor,2020
3864,ALEXIS JONES,ATL,Secondary Creator/Distributor,2020
3863,AERIAL POWERS,WAS,Primary On-Ball Creator,2020
3862,SYLVIA FOWLES,MIN,Interior Primary Option,2020
3861,MEGAN HUFF,LVA,Roller/Cutter,2020
3839,BRIA HARTLEY,PHO,Primary On-Ball Creator,2020
3846,THERESA PLAISANCE,CON,Perimeter-Oriented Big,2020
3837,ASTOU NDOUR-FALL,DAL,Perimeter-Oriented Big,2020
3811,LAYSHIA CLARENDON,NYL,Secondary Creator/Distributor,2020
3818,MARINA MABREY,DAL,Secondary Creator/Distributor,2020
3817,KATHLEEN DOYLE,IND,Secondary Creator/Distributor,2020
3816,JACKI GEMELOS,WAS,Spot-up Shooter,2020
3815,GLORY JOHNSON,ATL,Perimeter-Oriented Big,2020
3814,BRIA HOLMES,CON,Perimeter-Oriented Big,2020
3813,TIFFANY MITCHELL,IND,Primary On-Ball Creator,2020
3836,LAUREN COX,IND,Perimeter-Oriented Big,2020
3810,KIARA LESLIE,WAS,Perimeter-Oriented Big,2020
3820,NATALIE ACHONWA,IND,Roller/Cutter,2020
3809,JOYNER HOLMES,NYL,Perimeter-Oriented Big,2020
3808,JASMINE THOMAS,CON,Primary On-Ball Creator,2020
3807,DIANA TAURASI,PHO,Primary On-Ball Creator,2020
3806,ALANNA SMITH,PHO,Perimeter-Oriented Big,2020
3805,TE'A COOPER,LAS,Secondary Creator/Distributor,2020
3804,RACHEL BANHAM,MIN,Spot-up Shooter,2020
3803,KYLEE SHOOK,NYL,Perimeter-Oriented Big,2020
3819,MEGAN WALKER,NYL,Perimeter-Oriented Big,2020
3812,SYDNEY WIESE,LAS,Spot-up Shooter,2020
3831,KAYLA ALEXANDER,MIN,Roller/Cutter,2020
3828,TIERRA RUFFIN-PRATT,LAS,Perimeter-Oriented Big,2020
3821,NNEKA OGWUMIKE,LAS,Interior Primary Option,2020
3834,NIA COFFEY,PHO,Perimeter-Oriented Big,2020
3833,EPIPHANNY PRINCE,SEA,Secondary Creator/Distributor,2020
3832,SATOU SABALLY,DAL,Primary On-Ball Creator,2020
3830,KALEENA MOSQUEDA-LEWIS,CON,Spot-up Shooter,2020
3829,CHENNEDY CARTER,ATL,Primary On-Ball Creator,2020
3827,TIANNA HAWKINS,WAS,Perimeter-Oriented Big,2020
3826,SYDNEY COLSON,CHI,Secondary Creator/Distributor,2020
3825,SHEY PEDDY,PHO,Secondary Creator/Distributor,2020
3824,SHENISE JOHNSON,MIN,Secondary Creator/Distributor,2020
3823,LEXIE BROWN,MIN,Secondary Creator/Distributor,2020
3822,KRISTINE ANIGWE,LAS,Roller/Cutter,2020
3835,STEFANIE DOLSON,CHI,Perimeter-Oriented Big,2020
3628,BRIANN JANUARY,PHO,Secondary Creator/Distributor,2019
3625,SYDNEY COLSON,LVA,Secondary Creator/Distributor,2019
3626,TIFFANY MITCHELL,IND,Primary On-Ball Creator,2019
3627,TINA CHARLES,NYL,Interior Primary Option,2019
3614,ARIKE OGUNBOWALE,DAL,Primary On-Ball Creator,2019
3629,CHINEY OGWUMIKE,LAS,Interior Primary Option,2019
3623,STEPHANIE TALBOT,MIN,Spot-up Shooter,2019
3630,ELIZABETH WILLIAMS,ATL,Roller/Cutter,2019
3624,SUGAR RODGERS,LVA,Spot-up Shooter,2019
3616,COURTNEY VANDERSLOOT,CHI,Secondary Creator/Distributor,2019
3622,SAMI WHITCOMB,SEA,Spot-up Shooter,2019
3621,MORGAN TUCK,CON,Perimeter-Oriented Big,2019
3620,LEXIE BROWN,MIN,Spot-up Shooter,2019
3619,KAELA DAVIS,DAL,Secondary Creator/Distributor,2019
3618,JESSICA BRELAND,ATL,Perimeter-Oriented Big,2019
3617,GABBY WILLIAMS,CHI,Secondary Creator/Distributor,2019
3615,BRITTANY BOYD-JONES,NYL,Secondary Creator/Distributor,2019
3632,LIZ CAMBAGE,LVA,Interior Primary Option,2019
3631,LEILANI MITCHELL,PHO,Primary On-Ball Creator,2019
3651,JORDIN CANADA,SEA,Secondary Creator/Distributor,2019
3633,NNEKA OGWUMIKE,LAS,Interior Primary Option,2019
3643,MARIE GÜLICH,ATL,Perimeter-Oriented Big,2019
3612,TIERRA RUFFIN-PRATT,LAS,Perimeter-Oriented Big,2019
3649,AERIAL POWERS,WAS,Primary On-Ball Creator,2019
3648,TIANNA HAWKINS,WAS,Perimeter-Oriented Big,2019
3647,THERESA PLAISANCE,CON,Perimeter-Oriented Big,2019
3646,TANISHA WRIGHT,NYL,Secondary Creator/Distributor,2019
3645,SHAVONTE ZELLOUS,SEA,Secondary Creator/Distributor,2019
3573,ALLIE QUIGLEY,CHI,Spot-up Shooter,2019
3642,MAITE CAZORLA,ATL,Spot-up Shooter,2019
3634,SOPHIE CUNNINGHAM,PHO,Spot-up Shooter,2019
3641,KENNEDY BURKE,IND,Perimeter-Oriented Big,2019
3640,KALEENA MOSQUEDA-LEWIS,SEA,Spot-up Shooter,2019
3639,ISABELLE HARRISON,DAL,Roller/Cutter,2019
3638,ELENA DELLE DONNE,WAS,Primary On-Ball Creator,2019
3637,BRITTNEY GRINER,PHO,Interior Primary Option,2019
3636,ALYSHA CLARK,SEA,Spot-up Shooter,2019
3635,SYDNEY WIESE,LAS,Spot-up Shooter,2019
3613,ARIEL ATKINS,WAS,Spot-up Shooter,2019
3576,BETNIJAH LANEY-HAMILTON,IND,Spot-up Shooter,2019
3611,TEAIRA MCCOWAN,IND,Roller/Cutter,2019
3583,COURTNEY WILLIAMS,CON,Interior Primary Option,2019
3590,JACKIE YOUNG,LVA,Secondary Creator/Distributor,2019
3589,ERICA WHEELER,IND,Secondary Creator/Distributor,2019
3588,DIAMOND DESHIELDS,CHI,Primary On-Ball Creator,2019
3587,DEARICA HAMBY,LVA,Interior Primary Option,2019
3586,DEWANNA BONNER,PHO,Primary On-Ball Creator,2019
3585,DANIELLE ROBINSON,MIN,Perimeter-Oriented Big,2019
3584,CRYSTAL LANGHORNE,SEA,Perimeter-Oriented Big,2019
3582,CHEYENNE PARKER-TYUS,CHI,Interior Primary Option,2019
3610,TAMERA YOUNG,LVA,Perimeter-Oriented Big,2019
3581,CHELSEA GRAY,LAS,Primary On-Ball Creator,2019
3580,CANDICE DUPREE,IND,Roller/Cutter,2019
3579,BROOKE MCCARTY-WILLIAMS,DAL,Secondary Creator/Distributor,2019
3578,BRITTNEY SYKES,ATL,Primary On-Ball Creator,2019
3577,BRIA HOLMES,CON,Perimeter-Oriented Big,2019
3575,ALYSSA THOMAS,CON,Interior Primary Option,2019
3574,ALLISHA GRAY,DAL,Perimeter-Oriented Big,2019
3591,JASMINE THOMAS,CON,Primary On-Ball Creator,2019
3592,JONQUEL JONES,CON,Interior Primary Option,2019
3593,KAHLEAH COPPER,CHI,Primary On-Ball Creator,2019
3594,KAYLA MCBRIDE,LVA,Primary On-Ball Creator,2019
3609,SYLVIA FOWLES,MIN,Interior Primary Option,2019
3608,STEFANIE DOLSON,CHI,Perimeter-Oriented Big,2019
3607,SHEKINNA STRICKLEN,CON,Spot-up Shooter,2019
3606,SHATORI WALKER-KIMBROUGH,WAS,Spot-up Shooter,2019
3605,RESHANDA GRAY,NYL,Roller/Cutter,2019
3604,RENEE MONTGOMERY,ATL,Spot-up Shooter,2019
3603,ODYSSEY SIMS,MIN,Primary On-Ball Creator,2019
