Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Kristi Toliver,WAS,G,11,99,11,0,99,6.6,19.9,0.333,5.1,14.3,0.357,1.5,5.6,0.273,2,2.6,0.8,0.5,4.1,4.1,1.5,0,3.6,4.6,20.4,2023
Kayana Traylor,MIN,G,8,35,8,0,35,4.4,14.5,0.3,0,1.5,0,4.4,13.1,0.333,2.9,2.9,1,1.5,1.5,4.4,2.9,0,4.4,7.3,11.6,2023
Brianna Turner,PHO,F-C,40,1052,40,33,1052,3.3,5.1,0.65,0,0,,3.3,5.1,0.65,0.3,0.6,0.5,2.5,12.5,2.5,1.9,2.2,3,4.4,6.9,2023
Yvonne Turner,SEA,G,21,193,21,7,193,4.9,10.7,0.463,0.3,0.8,0.333,4.7,9.9,0.474,3.6,4.7,0.778,0.5,6,4.7,2.1,0.5,3.6,3.6,13.8,2023
Courtney Vandersloot,NYL,G,39,1187,39,39,1187,6.9,15.5,0.442,1.6,5.4,0.294,5.3,10.1,0.521,2.2,2.9,0.761,0.8,5.8,13.4,2.2,1,4.4,3.3,17.5,2023
Victoria Vivians,IND,G-F,38,674,38,14,674,5.6,14.6,0.38,2.1,7.2,0.287,3.5,7.5,0.469,1.8,2.3,0.767,1.4,9.1,3.7,2.1,0.5,2.4,5.5,14.9,2023
Shatori Walker-Kimbrough,WAS,G,40,993,40,15,993,4.4,10.3,0.429,1.6,4.2,0.39,2.8,6.2,0.455,2.2,2.4,0.936,0.4,4.2,3.4,1.5,0.7,1.3,2.4,12.7,2023
Kristy Wallace,IND,G,37,728,37,9,728,6.6,16.4,0.401,2.6,6,0.435,3.9,10.4,0.381,1.5,2,0.75,1.6,5.8,5,1.6,0.6,3.5,4.5,17.2,2023
Erica Wheeler,IND,G,40,1071,40,40,1071,7,17.6,0.398,1.4,4.6,0.309,5.6,12.9,0.43,3.5,3.9,0.878,0.8,5.8,9.6,2.1,0.1,4,4.6,18.9,2023
Sami Whitcomb,SEA,G,40,978,40,19,978,6.6,16.4,0.4,4.6,11.9,0.385,2,4.6,0.438,2.3,2.7,0.83,1,5.9,5.9,1.8,0.7,4.1,3.8,20,2023
Courtney Williams,CHI,G,40,1204,40,40,1204,7.4,17,0.437,2,4.5,0.443,5.5,12.5,0.434,0.6,1.1,0.6,1.6,10.2,10.6,1.6,0.5,4.1,2.7,17.5,2023
Elizabeth Williams,CHI,C-F,40,1188,40,40,1188,7.2,13.9,0.514,0,0,,7.2,13.9,0.514,2.5,3.9,0.63,3.9,9.9,4.2,2.1,2.6,2.3,4.3,16.8,2023
Gabby Williams,SEA,F,10,285,10,8,285,6,16.6,0.362,0.9,4.1,0.217,5.1,12.5,0.408,1.9,2.3,0.846,2.5,6.3,6.7,2.6,0.7,3.9,3.4,14.8,2023
Madi Williams,PHO,G-F,5,46,5,0,46,5.6,16.9,0.333,0,3.4,0,5.6,13.5,0.417,0,0,,2.3,5.6,1.1,2.3,1.1,6.8,6.8,11.3,2023
