Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Nikki McCray,WAS,G,32,828,32,32,828,8.5,20.7,0.41,1.6,6.8,0.232,6.9,13.9,0.497,6.5,9.2,0.711,1.6,4,3.4,1.9,0,5.2,4.9,25.1,2001
Nicky McCrimmon,LAS,G,28,350,28,0,350,4.5,10.2,0.444,0.8,1.9,0.417,3.7,8.3,0.451,0.5,1.1,0.429,0.5,1.9,10.2,3.4,0,3.6,3.1,10.4,2001
Danielle McCulley,IND,C-F,8,90,8,2,90,3.2,11.7,0.278,0.6,1.3,0.5,2.6,10.4,0.25,11,11.7,0.944,2.6,11,3.2,0,1.3,4.5,7.8,18.1,2001
Carla McGhee,ORL,F,17,71,17,0,71,4.8,19.4,0.25,0,0,,4.8,19.4,0.25,1.6,3.2,0.5,3.2,8.9,0,0.8,0.8,4.8,7.3,11.3,2001
Taj McWilliams-Franklin,ORL,F-C,32,1059,32,32,1059,8.5,17.9,0.474,0.1,0.5,0.2,8.4,17.4,0.483,4.7,6.3,0.744,6.2,13.2,3.7,2.8,2.7,4.3,4,21.8,2001
Chasity Melvin,CLE,C-F,27,754,27,20,754,8.4,17.8,0.474,0.2,0.2,1,8.3,17.6,0.469,5,7.1,0.698,5.5,12.7,4.1,2,1.3,3.7,6.7,22,2001
Coco Miller,WAS,G,20,137,20,0,137,5.6,17.3,0.325,0.9,2.6,0.333,4.8,14.7,0.324,2.6,4.8,0.545,2.2,3.9,3.5,2.6,0,5.6,4.3,14.7,2001
Kelly Miller,CHA,G,26,225,26,0,225,6.1,15.8,0.386,1.9,5.3,0.368,4.2,10.5,0.395,1.1,1.4,0.8,3,7.7,3.9,2.5,0,2.5,3.9,15.2,2001
Tausha Mills,WAS,C,30,319,30,0,319,4.3,12.8,0.333,0,0.2,0,4.3,12.6,0.338,3.3,5.8,0.581,7.4,19.5,1.1,2.6,0.7,4.6,13.4,11.9,2001
DeLisha Milton-Jones,LAS,F,32,938,32,27,938,8.1,17.9,0.453,0.7,2.1,0.343,7.4,15.8,0.467,3,3.8,0.794,4.3,10.2,4.1,3,1.8,3.5,6.1,19.9,2001
Adriana Moises,PHO,G,7,123,7,0,123,6.5,16.7,0.389,1.9,5.6,0.333,4.6,11.1,0.417,4.2,5.6,0.75,1.9,7.4,7.9,2.8,0,7.4,5.1,19,2001
Jenny Mowe,POR,C,5,17,5,0,17,10.1,10.1,1,0,0,,10.1,10.1,1,0,0,,3.4,10.1,0,0,3.4,6.7,16.8,20.2,2001
Andrea Nagy,NYL,G,23,213,23,0,213,3.6,8.6,0.419,1.7,3.3,0.5,1.9,5.3,0.368,0.6,1.1,0.5,0,2.5,6.6,0.6,0.8,6.4,6.9,9.4,2001
Astou Ndiaye-Diatta,DET,F,32,913,32,31,913,10,21.9,0.457,0.3,1,0.333,9.7,20.9,0.463,3.8,4.9,0.776,3.9,11,3.1,1.4,1.8,4.7,5.3,24.1,2001
Eva Nemcova,CLE,F,8,113,8,2,113,7.2,21,0.342,1.7,8.3,0.2,5.5,12.7,0.435,2.8,4.4,0.625,0.6,5.5,4.4,1.1,2.8,3.3,5,18.8,2001
Claudia Neves,DET,G,22,407,22,15,407,4.9,13.5,0.362,2.7,7.5,0.365,2.2,6.1,0.357,1.2,1.2,1,0.4,4.2,4.9,3,0,4,3,13.7,2001
Deanna Nolan,DET,G-F,27,545,27,0,545,6.9,20.9,0.33,2.3,7.9,0.288,4.6,13,0.355,4.6,5.7,0.811,1.7,5.7,3.2,1.8,0.6,3.8,4.6,20.7,2001
Vanessa Nygaard,POR,F,31,259,31,0,259,6.2,15.9,0.389,4.2,10.8,0.388,2,5.1,0.391,0.2,0.7,0.333,2.9,7.7,2.2,1.3,0.4,3.1,10.6,16.8,2001
Murriel Page,WAS,F,32,989,32,32,989,6,13.8,0.433,0.2,1,0.235,5.7,12.8,0.449,1.3,2.2,0.583,4.4,10.6,3.3,1.8,2.2,3.6,5.3,13.5,2001
Wendy Palmer,DET,F,22,651,22,22,651,8.2,19.4,0.423,1,3,0.333,7.2,16.4,0.44,3.6,5.3,0.678,3.4,13.9,2.1,2.1,0.4,4.3,5.8,21,2001
Michaela Pavlickova,UTA,F,10,21,10,0,21,0,5.5,0,0,0,,0,5.5,0,2.7,5.5,0.5,0,16.5,2.7,0,5.5,2.7,0,2.7,2001
Kate Paye,MIN,G,32,652,32,16,652,2.7,6.9,0.385,1.8,5,0.357,0.9,2,0.455,1,1.4,0.688,0.6,5.4,8.6,1.9,0,4.1,4.9,8.1,2001
Ticha Penicheiro,SAC,G,23,744,23,22,744,3.2,9.5,0.339,0.8,3.2,0.262,2.4,6.3,0.378,3.8,4.9,0.766,0.5,6.6,13.2,3.1,0.6,4.9,4.4,11,2001
Erin Perperoglou,MIN,F,32,725,32,19,725,5.1,14.7,0.348,0.6,2.3,0.276,4.5,12.4,0.361,3.8,6.1,0.618,3.4,9.4,5,2.2,2.3,5.2,8.1,14.6,2001
Bridget Pettis,PHO,G,32,497,32,1,497,6.1,18.2,0.333,2.3,7.2,0.317,3.8,11,0.344,5.3,6.4,0.821,3.4,6.9,5.7,3.2,0.5,4.4,5.4,19.7,2001
Tari Phillips,NYL,F-C,32,1049,32,32,1049,11.7,23,0.507,0,0.2,0,11.7,22.8,0.512,4.1,7,0.584,5,14.4,1.9,2.7,1,4.7,6.2,27.5,2001
Elaine Powell,ORL,G,32,1055,32,32,1055,6.5,16.1,0.402,2.1,5.5,0.382,4.4,10.5,0.412,4.4,5.8,0.755,1.7,5.3,5.3,2.7,0.4,4.3,3.5,19.4,2001
Lynn Pride,MIN,G-F,32,713,32,14,713,5.5,14.1,0.391,0.1,0.3,0.25,5.4,13.8,0.394,2.7,4.5,0.6,3.8,11.9,2.3,2.3,1.6,3.7,6.3,13.8,2001
Hajdana Radunovic,NYL,C,4,9,4,0,9,6.5,13.1,0.5,0,0,,6.5,13.1,0.5,13.1,13.1,1,6.5,26.2,0,0,6.5,13.1,19.6,26.2,2001
Semeka Randall,SEA,G,32,884,32,30,884,8.1,21.8,0.371,0,0.3,0,8.1,21.5,0.376,4.6,6.9,0.66,2.2,7.3,3,2,0.3,5.1,3.1,20.8,2001
Kristen Rasmussen,MIA,F,28,416,28,3,416,4.6,12.9,0.36,0.1,0.6,0.25,4.5,12.3,0.366,1.8,2.4,0.75,4.9,13.2,2.4,1.6,2.1,4.6,7.2,11.2,2001
Jamie Redd,SEA,F,32,659,32,6,659,7.6,20.1,0.38,2,7.2,0.286,5.6,12.9,0.432,4.2,6.1,0.682,2.7,7.6,4.5,1.6,0.3,4.5,9.4,21.5,2001
Brandy Reed,PHO,F,1,13,1,0,13,4.4,35.1,0.125,0,0,,4.4,35.1,0.125,4.4,4.4,1,0,13.2,0,0,0,0,0,13.2,2001
Tracy Reid,MIA,F,21,278,21,2,278,7.2,14.1,0.508,0,0,,7.2,14.1,0.508,3.6,5.8,0.615,2.2,8.3,2.9,3.4,1.1,5.6,6.3,17.9,2001
Ruth Riley,MIA,C,32,799,32,20,799,6,12.6,0.475,0,0,,6,12.6,0.475,5,6.5,0.771,4,10.1,2,1.9,3.6,4.9,8.3,17,2001
Jennifer Rizzotti,CLE,G,32,476,32,0,476,5.5,14.4,0.382,3.7,9.6,0.384,1.8,4.9,0.378,0.9,1.4,0.636,0.3,3.9,6.7,3.3,0.3,5.4,3.9,15.6,2001
Crystal Robinson,NYL,F,32,980,32,32,980,7.4,16.1,0.461,4.2,10.1,0.417,3.2,6,0.535,1.6,1.7,0.897,1.4,5.5,5,1.9,0.5,1.7,5.2,20.6,2001
Nykesha Sales,ORL,F-G,32,1039,32,31,1039,9.2,20.9,0.438,2.4,7.6,0.314,6.8,13.4,0.508,3.2,4.1,0.784,3.1,9.5,3.2,3.9,0.3,4,6,23.9,2001
Sheri Sam,MIA,G-F,32,1100,32,32,1100,10.2,23.6,0.432,1.5,5.5,0.276,8.6,18,0.48,3.2,4.3,0.75,2.3,7.7,5,3.1,0.5,4.9,3.8,25.1,2001
Alessandra Santos de Oliveira,SEA,C,10,62,10,1,62,3.9,13.8,0.286,0,0,,3.9,13.8,0.286,4.9,10.9,0.455,9.9,15.8,0,0,0,3,11.8,12.8,2001
Kelly Santos,DET,F,14,153,14,0,153,7.7,16.1,0.476,0,0.4,0,7.7,15.7,0.488,4.6,6.9,0.667,4.2,10.3,1.9,1.1,1.1,4.6,8.8,19.9,2001
Paige Sauer,CLE,C,2,4,2,0,4,15.6,46.8,0.333,0,0,,15.6,46.8,0.333,0,0,,15.6,31.2,0,0,15.6,15.6,15.6,31.2,2001
Jaynetta Saunders,PHO,F,28,253,28,6,253,5.6,17.4,0.325,0.2,0.7,0.333,5.4,16.7,0.324,3.8,5.6,0.68,2.9,9,1.6,2.3,1.8,3.2,6.3,15.3,2001
Audrey Sauret,WAS,G,25,455,25,3,455,4.3,14.4,0.297,0.4,3.4,0.115,3.9,11.1,0.353,0.9,3.1,0.292,1.4,5.5,5.6,3.1,0.5,5.3,5.1,9.9,2001
Kelly Schumacher,IND,C,28,380,28,5,380,7.1,14.3,0.495,0.5,0.8,0.6,6.6,13.5,0.489,2.6,3.1,0.85,3.5,10.7,1.5,0.8,4.3,3.2,6.3,17.2,2001
Georgia Schweitzer,MIN,G-F,24,423,24,8,423,4.4,14,0.314,1,5.7,0.167,3.4,8.2,0.417,1.8,2.3,0.765,2.1,6.8,4.7,1.5,0.8,2.3,4.7,11.5,2001
Olympia Scott,IND,C,32,775,32,30,775,7.4,16.3,0.456,0,0.2,0,7.4,16.2,0.46,6.2,8.3,0.739,3.9,12.1,3,1.7,0.9,5.4,8.1,21,2001
Elena Shakirova,HOU,C,26,203,26,2,203,3.5,11.2,0.316,0,2.1,0,3.5,9.2,0.387,4.1,6.8,0.609,4.4,10.3,2.7,1.8,0.6,2.7,3.3,11.2,2001
Charlotte Smith,CHA,F,30,678,30,24,678,5.2,13.4,0.39,0.9,2.9,0.313,4.3,10.5,0.412,4.3,5.9,0.734,3.3,9.3,4.6,1.5,1.2,3.8,6.7,15.7,2001
Charmin Smith,SEA,G,32,589,32,8,589,1.8,6.5,0.27,1.1,3.9,0.289,0.6,2.6,0.24,1.4,2.2,0.619,1.9,5.7,4.1,1.8,0.1,2.7,5.4,6,2001
Katie Smith*,MIN,G,32,1234,32,32,1234,9.6,24.3,0.393,4,11.3,0.354,5.6,13.1,0.427,11.5,12.9,0.895,1.8,5.7,3.3,1.1,0.2,4.1,4.4,34.7,2001
Tangela Smith,SAC,C,32,912,32,32,912,9.3,22,0.42,0,0.1,0,9.3,21.9,0.423,3.9,5.3,0.729,3,11.2,2.6,2.1,3.4,4.1,6.6,22.4,2001
Rachael Sporn,DET,F,23,265,23,1,265,4.2,10.4,0.404,0,0,,4.2,10.4,0.404,0.7,2,0.333,4.6,11.5,2.4,1.5,0.9,2.9,3.5,9.1,2001
Trisha Stafford-Odom,HOU,F,30,365,30,4,365,6.4,17.4,0.368,0,0.2,0,6.4,17.3,0.371,5.8,8.6,0.673,6.2,14,2.6,2,0.3,4.3,6.9,18.6,2001
Dawn Staley*,CHA,G,32,1152,32,32,1152,5.8,15.2,0.381,1.8,4.8,0.371,4,10.4,0.385,2.8,3.1,0.895,0.6,3.8,9.7,2.8,0.1,5.4,2.9,16.1,2001
Kate Starbird,UTA,F-G,23,310,23,7,310,7.6,20.4,0.373,0.9,4.3,0.217,6.7,16.2,0.414,4.1,5,0.815,2.4,5.6,3.9,1.5,0.2,2.8,5.6,20.2,2001
Katy Steding,SEA,F,26,393,26,17,393,5.5,14.6,0.372,2.5,5.5,0.457,3,9.2,0.322,2.5,3.1,0.8,1.4,5.5,3.7,2.5,1.4,3.4,3.6,15.9,2001
Maria Stepanova,PHO,C,32,815,32,31,815,10,19.7,0.507,0,0.1,0,10,19.6,0.511,3.4,5.5,0.615,4.6,14.1,2.9,3,4.5,3.5,7.7,23.4,2001
Jackie Stiles,POR,G,32,1023,32,32,1023,8.7,21.5,0.405,2.8,6.5,0.431,5.9,15.1,0.394,6.5,8.3,0.779,1.3,4.3,3.1,1.3,0.2,3.8,4.2,26.7,2001
Andrea Stinson,CHA,G,32,1006,32,32,1006,11.1,22.9,0.484,1.8,4,0.446,9.3,18.9,0.492,3.9,4.9,0.797,2.4,8.5,5.4,2.7,1.2,4.3,3.7,27.9,2001
Shanele Stires,MIN,F,18,201,18,5,201,5.8,15.3,0.377,1.7,7.2,0.24,4,8.1,0.5,1.4,2,0.714,2.9,7.8,4,2.3,1.2,5.5,7.8,14.7,2001
Tamara Stocks,WAS,F-C,3,11,3,0,11,5.4,16.1,0.333,0,0,,5.4,16.1,0.333,5.4,10.8,0.5,0,10.8,0,0,0,0,16.1,16.1,2001
Jurgita Streimikyte,IND,F,27,707,27,26,707,8.2,17.1,0.478,0,0.7,0,8.2,16.3,0.5,4,4.7,0.842,3.7,11.5,4.3,3,1.6,4.3,6.7,20.3,2001
Tammy Sutton-Brown,CHA,C,29,602,29,21,602,7.4,15.2,0.49,0,0,,7.4,15.2,0.49,5.4,7.4,0.722,5.3,13.3,1.1,2.2,4,4.1,8.7,20.3,2001
Penny Taylor,CLE,F,32,561,32,0,561,9.6,25,0.382,2.4,8.1,0.301,7.1,16.9,0.421,4,5.1,0.783,4,12.5,4.9,3.9,1.2,4.2,5.1,25.6,2001
Stacey Thomas,POR,F,32,413,32,1,413,3,8.3,0.367,0,1,0,3,7.3,0.415,2.1,4.9,0.429,4.3,9.7,5.7,4.2,1.4,5.5,7.9,8.2,2001
Alicia Thompson,IND,F,22,381,22,7,381,11.6,26.6,0.437,2.6,6.6,0.395,9,20,0.45,2.6,3.5,0.739,3.2,9.6,3.8,1.4,1.1,3.4,3.7,28.4,2001
Tina Thompson*,HOU,F,30,1102,30,30,1102,10.8,28.8,0.377,2.4,8.2,0.293,8.4,20.6,0.41,7.5,8.9,0.84,4.6,12.7,3.2,1.6,1.2,4.7,4,31.5,2001
Michele Timms*,PHO,G,21,408,21,18,408,5.3,15.4,0.345,2,6.4,0.304,3.4,8.9,0.375,1.1,1.4,0.8,1.5,6.3,12.2,2.9,0.3,5.9,5.9,13.7,2001
Elena Tornikidou,DET,F,32,777,32,32,777,8.4,18.8,0.446,1.7,3.7,0.449,6.7,15.1,0.445,4.8,5.4,0.887,2.1,5.8,4.2,1.4,1.1,4.5,4.5,23.2,2001
Levys Torres,MIA,C,2,8,2,0,8,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,15.5,0,0,2001
Slobodanka Tuvic,PHO,C,30,325,30,0,325,2.3,7.4,0.31,0,0,,2.3,7.4,0.31,4.9,10.4,0.475,3.2,11.1,3,2.8,3,4.9,8.6,9.5,2001
Michele Van Gorp,MIN,C,22,243,22,8,243,3.6,9.5,0.375,0,0.2,0,3.6,9.3,0.385,2.6,4.8,0.55,3.6,8.1,2.9,0.7,1.4,4.3,8.6,9.8,2001
Kristen Veal,PHO,G,29,658,29,14,658,3,10.8,0.28,1.2,4.3,0.28,1.8,6.5,0.28,2.8,3.6,0.762,1.2,5.2,10.8,2.9,0.3,7.1,5,10.1,2001
Kamila Vodichkova,SEA,F-C,29,405,29,4,405,7.7,18.4,0.418,1.5,3.8,0.4,6.2,14.7,0.423,5.7,6.7,0.864,3.8,10.7,3.5,2.4,1.1,5.1,8.5,22.7,2001
DeMya Walker,POR,F,21,297,21,0,297,8.5,19.3,0.44,0.4,0.6,0.667,8.1,18.7,0.433,4.4,7.7,0.575,5.6,11.2,1.9,1.3,2.3,6.7,9.8,21.8,2001
Maren Walseth,SAC,F,4,8,4,0,8,7.1,14.3,0.5,0,0,,7.1,14.3,0.5,14.3,14.3,1,14.3,14.3,0,0,0,14.3,14.3,28.5,2001
Coquese Washington,HOU,G,32,1013,32,32,1013,3.7,10.5,0.356,1.7,4.8,0.358,2,5.7,0.354,0.8,1.3,0.636,1.2,7,7.2,4.1,0.5,3.4,3.7,10,2001
Tonya Massaline,WAS,F,30,336,30,2,336,7.2,20.1,0.36,1.8,5.1,0.345,5.5,15,0.365,1.6,1.9,0.818,3.3,7.6,1.8,0.7,0.4,2.5,0.9,17.8,2001
Ann Wauters,CLE,C,24,622,24,14,622,8.7,15.4,0.569,0,0.2,0,8.7,15.2,0.576,6,7.5,0.8,3.5,11.4,3.5,1.7,1.3,5,5.5,23.5,2001
Teresa Weatherspoon*,NYL,G,32,974,32,32,974,4.4,10.1,0.431,0.6,1.6,0.385,3.8,8.5,0.44,3.2,4.8,0.671,1.8,7.1,12.3,3.3,0.2,4.9,5,12.5,2001
Val Whiting-Raymond,MIN,C-F,26,462,26,15,462,3,11.3,0.267,0,0.1,0,3,11.2,0.27,5,6.8,0.741,3.1,10.4,2,1.9,1.8,4.3,7.8,11,2001
Tamika Whitmore,NYL,F,32,752,32,29,752,7.5,17.4,0.432,0.1,0.2,0.5,7.4,17.2,0.432,2.6,4.5,0.569,2.3,7.6,1.5,1.3,0.8,2.6,5.5,17.7,2001
Jennifer Whittle,WAS,C,4,20,4,0,20,0,3,0,0,3,0,0,0,,0,5.9,0,3,3,0,0,3,8.9,23.7,0,2001
Sue Wicks,NYL,F,30,602,30,3,602,6,12.7,0.469,0,0.7,0,6,12,0.496,3.4,5.1,0.673,3.5,13.5,3.6,3.5,2.9,4.2,8.4,15.4,2001
Adrian Williams-Strong,PHO,C-F,25,375,25,1,375,5.8,17.2,0.336,0,0,,5.8,17.2,0.336,3,4.3,0.714,3.2,11.4,1.7,2.3,0.8,5.2,6.5,14.6,2001
Natalie Williams,UTA,C,31,1064,31,31,1064,9.3,18.9,0.49,0,0.2,0,9.3,18.7,0.496,5.3,7.2,0.729,6,16.7,3,2.2,0.5,3.8,6.9,23.8,2001
Rita Williams,IND,G,32,1042,32,29,1042,6.4,16.4,0.392,2.3,6.1,0.376,4.1,10.3,0.402,6.1,7.4,0.833,1.4,5.8,6.4,4,0.6,5.6,4,21.3,2001
Wendi Willits,LAS,G,13,47,13,0,47,7.2,24.1,0.3,2.4,15.7,0.154,4.8,8.4,0.571,3.6,4.8,0.75,1.2,6,3.6,1.2,0,2.4,0,20.5,2001
Sophia Witherspoon,POR,G,31,862,31,30,862,7.5,23.8,0.316,3.8,12.1,0.313,3.7,11.7,0.318,6,7,0.849,1.3,4.9,3.6,2,0.5,4.8,3.9,24.8,2001
Kara Wolters,SAC,C,31,378,31,1,378,9.5,20.2,0.47,0,0,,9.5,20.2,0.47,3.8,4.7,0.806,3.2,11.2,2.6,0.6,3.8,5,8.3,22.8,2001
Angelina Wolvert,CLE,F-C,1,5,1,0,5,12.5,37.5,0.333,0,0,,12.5,37.5,0.333,0,0,,12.5,12.5,0,0,0,0,12.5,25,2001
Brooke Wyckoff,ORL,F,32,648,32,27,648,3.6,11.1,0.328,0.5,3.3,0.162,3.1,7.8,0.398,1.8,2.5,0.714,4.2,10.8,3.3,2.3,1.3,4.4,8.1,9.6,2001
Dana Wynne,SAC,F,1,3,1,0,3,0,0,,0,0,,0,0,,38,38,1,19,19,0,0,19,0,38,38,2001
Carolyn Young,POR,G,23,279,23,1,279,7.6,20.3,0.374,2.1,7,0.294,5.5,13.3,0.415,5.5,7.6,0.73,2.1,7,3.1,2.9,0.2,5.5,5.5,22.8,2001
Tonya Edwards,TOT,G,32,580,32,9,580,6.2,17.8,0.351,1,3.7,0.278,5.2,14,0.37,6.7,8.7,0.762,1.7,6.4,5,2,0.7,6.4,8.2,20.2,2001
Vicki Hall,TOT,F,27,348,27,6,348,7.2,17.5,0.41,1.2,4.4,0.28,5.9,13.1,0.453,2.1,3.8,0.545,2.6,8.6,2.3,0.9,0.9,3.1,5.8,17.7,2001
Tonya Edwards,PHO,G,10,208,10,9,208,7.1,19.5,0.366,1.4,3.8,0.357,5.8,15.6,0.368,10.1,12.9,0.787,1.4,5.2,4.9,1.4,0.3,6,8.2,25.8,2001
Vicki Hall,CLE,F,14,225,14,6,225,7.5,18.3,0.409,1.9,6.1,0.318,5.5,12.2,0.455,1.1,2.2,0.5,2.8,9.2,2.5,0.3,1.4,3.1,6.1,18,2001
Tonya Edwards,CHA,G,22,372,22,0,372,5.7,16.7,0.34,0.8,3.7,0.227,4.9,13.1,0.372,4.5,6.2,0.73,1.8,7.2,5,2.3,1,6.7,8.2,16.7,2001
Vicki Hall,IND,F,13,123,13,0,123,6.6,16.1,0.412,0,1.4,0,6.6,14.7,0.452,3.8,6.6,0.571,2.4,7.6,1.9,1.9,0,3.3,5.2,17,2001
Markita Aldridge,WAS,G,29,272,29,0,272,5.3,11.5,0.463,1.3,2.6,0.5,4.1,9,0.452,1.5,4.7,0.318,1.7,5.1,6,1.9,0.9,5.8,6.4,13.4,2000
Keisha Anderson,WAS,G,30,434,30,9,434,3.9,9.1,0.426,0.4,1.1,0.375,3.5,8,0.433,1.9,2.4,0.778,1.6,6.2,10,3.3,0.4,6.3,7.1,10,2000
Mery Andrade,CLE,F,32,797,32,18,797,6.6,14.4,0.456,2,5.5,0.36,4.6,8.9,0.517,4.4,5.9,0.75,2.4,7,5.5,3,0.7,4.8,6.7,19.6,2000
Janeth Arcain,HOU,G,32,977,32,32,977,6.4,13.6,0.468,0.5,2.6,0.2,5.9,11,0.532,2.4,2.9,0.837,2.1,7,3.5,2.5,0.2,3.1,3.9,15.7,2000
Marlies Askamp,MIA,C,32,869,32,32,869,5.9,14.6,0.407,0.1,0.1,0.5,5.9,14.5,0.406,5.6,8.2,0.684,6.7,16.2,2,1.2,1.5,3.4,6.6,17.6,2000
Jennifer Azzi,UTA,G,15,559,15,15,559,4.6,10.2,0.452,1,2.3,0.417,3.6,7.8,0.463,3.9,4.2,0.93,0.5,4,9,1.2,0.5,2.7,4.2,14.1,2000
Tricia Bader Binford,CLE,G,25,201,25,0,201,5,14.1,0.354,2.3,7,0.333,2.6,7,0.375,1.5,1.8,0.833,0.6,3.2,6.1,5,0.3,5.3,4.7,13.8,2000
Rhonda Banchero,SAC,C,9,21,9,0,21,5.4,18.9,0.286,0,5.4,0,5.4,13.5,0.4,5.4,10.8,0.5,5.4,8.1,2.7,0,0,5.4,8.1,16.2,2000
Adia Barnes,CLE,F,5,18,5,0,18,9.8,16.3,0.6,0,3.3,0,9.8,13.1,0.75,6.5,13.1,0.5,6.5,6.5,13.1,0,0,6.5,6.5,26.2,2000
Quacy Barnes,SEA,C,31,705,31,23,705,7.5,18,0.418,0.1,0.8,0.111,7.4,17.2,0.431,2.5,4.7,0.536,2.3,7.1,2.8,1.6,2.8,5.2,8.7,17.7,2000
Cass Bauer-Bilodeau,CHA,C,29,398,29,18,398,4.2,10.4,0.403,0,0.1,0,4.2,10.2,0.408,2.6,3,0.857,2.9,8.1,2,1.2,0.4,4,10.4,10.9,2000
Tully Bevilaqua,POR,G,32,796,32,32,796,2.8,7.9,0.357,1.2,4.2,0.283,1.6,3.7,0.442,4,5.1,0.778,1.3,6.7,6.3,2.9,0.4,4.7,6.5,10.8,2000
Jessica Bibby,NYL,G,17,69,17,0,69,2.6,15.5,0.167,1.7,5.2,0.333,0.9,10.3,0.083,9.5,11.2,0.846,2.6,4.3,9.5,2.6,0,10.3,7.7,16.3,2000
Debbie Black,MIA,G,32,820,32,32,820,4.2,11.1,0.38,0.7,3.1,0.214,3.6,8,0.444,2.2,3.1,0.69,1.7,6.8,7.3,4.3,0.1,3.7,6.4,11.3,2000
Cindy Blodgett,SAC,G,20,133,20,0,133,8.5,21.3,0.4,3.4,11.9,0.286,5.1,9.4,0.545,1.7,2.6,0.667,0.4,3.8,1.3,3.4,0.4,5.5,3.8,22.1,2000
Ruthie Bolton,SAC,G,29,868,29,29,868,8.7,24,0.361,3.3,10.4,0.313,5.4,13.6,0.399,4.2,5.5,0.762,2.7,6.9,3.7,2.2,0.1,2.9,3.9,24.8,2000
Angie Braziel,CHA,F,22,203,22,3,203,5.4,13.8,0.388,0,0,,5.4,13.8,0.388,3.7,5.4,0.684,4.5,9.6,1.4,1.4,0,4.8,6.8,14.4,2000
Michelle Brogan,PHO,F,28,725,28,23,725,5.7,11.1,0.511,0.6,2,0.32,5,9.1,0.554,5.1,6.4,0.797,3.2,9,4,2.4,0.5,2.9,7.1,17.1,2000
Edwina Brown,DET,G-F,32,619,32,7,619,5.2,14.7,0.355,0.1,0.3,0.25,5.1,14.4,0.358,5.8,7,0.838,3.1,7.7,6.3,2.1,0.4,5.9,6.7,16.4,2000
Rushia Brown,CLE,F,30,679,30,22,679,8.1,16.2,0.497,0.1,0.2,0.5,8,16,0.497,5.7,6.8,0.846,4.7,10.7,3.8,3.3,1.1,5.1,7,21.9,2000
Marla Brumfield,MIN,G,32,613,32,17,613,4.4,9.4,0.465,0.1,0.8,0.111,4.3,8.6,0.5,2.7,3.9,0.69,2.1,5.6,3.9,2.1,0.2,3.7,6.5,11.6,2000
Vicky Bullett,WAS,F,32,1094,32,32,1094,7.6,15.6,0.486,0.6,1.8,0.324,7,13.8,0.508,2.4,3.3,0.714,3.2,9.7,2.2,3.4,2.5,3.1,4.7,18.2,2000
Linda Burgess,SAC,F,5,41,5,0,41,4.1,20.7,0.2,0,0,,4.1,20.7,0.2,8.3,12.4,0.667,9.7,23.5,2.8,1.4,0,5.5,11,16.6,2000
Alisa Burras,POR,C,21,314,21,4,314,11.5,19.5,0.587,0,0,,11.5,19.5,0.587,5.6,7.3,0.756,3.6,13.2,1.1,0.5,1.3,6.4,6.4,28.5,2000
Latasha Byears,SAC,G-F,32,521,32,0,521,8.1,15.5,0.524,0.1,0.2,0.5,8,15.3,0.525,3.3,5.3,0.612,4.6,13.2,2.3,3.3,0.5,3.8,7.8,19.7,2000
Edna Campbell,SEA,G,16,510,16,16,510,9.8,25.1,0.391,1.5,5.7,0.265,8.3,19.4,0.428,4.8,6.8,0.707,0.9,4,4.3,2.2,0.5,4.7,4.1,25.9,2000
Michelle Campbell,WAS,C,5,22,5,0,22,5.3,13.2,0.4,0,0,,5.3,13.2,0.4,5.3,5.3,1,0,5.3,2.6,0,2.6,7.9,5.3,15.8,2000
Dominique Canty,DET,G,28,784,28,27,784,5.7,14,0.409,0,0.3,0,5.7,13.6,0.419,6.3,9,0.695,2.1,4.8,5.6,3.4,0.3,3.5,4.4,17.7,2000
Jamie Cassidy,MIA,C,22,175,22,0,175,7,19.1,0.364,1.4,2.8,0.5,5.6,16.3,0.34,10.4,14.9,0.698,2.4,8,3.1,1.7,0.7,4.5,5.9,25.7,2000
Michelle Cleary,PHO,G,24,509,24,7,509,1.6,5.2,0.311,1.2,3.5,0.333,0.5,1.7,0.267,2.2,3.1,0.704,1.4,4.3,8.9,3.9,0.2,1.6,4.2,6.8,2000
Stacy Clinesmith,SAC,G,26,285,26,2,285,4,11.3,0.351,2.4,8.1,0.293,1.6,3.2,0.5,2.8,3.4,0.824,1.4,6,9.7,2.4,0.2,5,3.8,13.1,2000
Katrina Colleton,MIA,F,32,873,32,32,873,7.2,20.4,0.352,0.3,1.5,0.238,6.8,18.9,0.36,3.7,4.9,0.757,1,4.4,3.5,1.9,0.5,4.5,4.5,18.4,2000
Cynthia Cooper*,HOU,G,31,1085,31,31,1085,9.5,20.7,0.459,2.3,6.4,0.355,7.2,14.3,0.506,7.8,8.9,0.875,0.9,4.5,8.2,2.1,0.3,5.2,3.2,29,2000
Sylvia Crawley,POR,F,31,930,31,30,930,8.6,18,0.48,0,0.1,0,8.6,17.9,0.483,4.3,6.2,0.696,3.9,11.2,2.1,1.8,1.5,5.3,5.8,21.6,2000
