Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"C. Holdsclaw, C. Miller, E. de Souza, S. Lyttle, S. Lehning",ATL,20,100.0,90.0
"C. Miller, M. Snow, J. Lacy, I. Latta, A. McCoughtry",ATL,20,90.9,111.6
"H. Darling, R. Riley, E. Perperoglou, E. Lawson-Wade, S. Young-Malcolm",SAN,20,94.3,102.9
"I. Castro Marques, E. de Souza, J. Lacy, A. McCoughtry, S. Lehning",ATL,20,73.8,72.7
"S. Christon, L. Moore, A. Battle, T. Jackson-Jones, K. Vaughn",NYL,20,73.2,90.2
"T. Dixon, J. Moore, J. Davenport, S. Murphy, B. January",IND,20,67.5,68.2
"T. Dixon, T. Sutton-Brown, K. Douglas, E. Hoffman, B. January",IND,20,87.8,113.0
"T. Penicheiro, H. Maiga-Ba, N. Powell, R. Brunson, C. Paris",SAC,20,100.0,102.3
"T. Smith, P. Taylor, L. Willingham, T. Johnson, C. Pondexter",PHO,20,130.6,79.5
"C. Holdsclaw, N. Teasley, M. Snow, I. Castro Marques, E. de Souza",ATL,19,68.8,95.7
"H. Darling, R. Riley, B. Snell, E. Lawson-Wade, S. Young-Malcolm",SAN,19,81.0,55.0
"J. Moore, J. Davenport, S. Murphy, B. January, C. Wirth",IND,19,116.2,83.3
"J. Perkins, S. Ely-Gash, C. Dupree, S. Fowles, K. Toliver",CHI,19,97.3,121.1
"K. Miller, C. Wiggins, N. Anosike, C. Houston, R. McCants",MIN,19,102.0,91.7
"L. Whalen, E. Phillips, K. Gardin, S. Gruda, A. Jekabsone-Zogota",CON,19,67.5,100.0
"M. Snow, I. Castro Marques, E. de Souza, A. McCoughtry, S. Lehning",ATL,19,107.5,85.0
"M. Snow, I. Castro Marques, S. Lyttle, I. Latta, A. McCoughtry",ATL,19,97.6,78.3
"N. Powell, R. Brunson, K. Haynie, S. Dorrell, C. Paris",SAC,19,112.5,69.6
"P. Taylor, N. Ohlde, D. Taurasi, T. Johnson, D. Bonner",PHO,19,106.8,102.4
"R. Hodges, T. Humphrey, N. Anosike, R. McCants, R. Montgomery",MIN,19,94.9,87.5
"S. Christon, C. Kraayeveld, T. Jackson-Jones, E. Carson, L. Mitchell",NYL,19,86.1,80.6
"T. McWilliams-Franklin, D. Nolan, A. Hornbuckle, O. Sanni, S. Zellous",DET,19,102.7,131.6
"T. Penicheiro, D. Walker, K. Lawson, N. Powell, L. Harper",SAC,19,92.7,97.6
"T. Thompson, K. Harrower, D. Milton-Jones, B. Lennox, N. Quinn",LAS,19,97.6,102.4
"V. Johnson, B. Hammon, A. Wauters, H. Darling, R. Riley",SAN,19,108.6,81.6
"V. Johnson, B. Hammon, B. Snell, S. Young-Malcolm, M. Frazee",SAN,19,91.9,118.9
"C. Holdsclaw, M. Snow, J. Lacy, A. McCoughtry, S. Lehning",ATL,18,88.9,73.8
"C. Miller, M. Snow, J. Lacy, A. McCoughtry, S. Lehning",ATL,18,78.6,102.6
"D. Canty, E. Thorn, J. Perkins, S. Ely-Gash, C. Dupree",CHI,18,102.7,116.7
"D. Canty, J. Perkins, C. Dupree, M. Bass, T. Young",CHI,18,88.6,80.6
"H. Maiga-Ba, K. Lawson, C. Newton, C. Kelly, L. Harper",SAC,18,118.2,82.4
"H. Maiga-Ba, K. Lawson, R. Brunson, C. Newton, C. Kelly",SAC,18,102.8,102.6
"K. Miller, R. Hodges, T. Humphrey, Q. Hollingsworth, R. McCants",MIN,18,94.4,84.6
"L. Jackson, S. Bird, S. Cash, T. Wright, K. Gearlds",SEA,18,97.2,92.5
"L. Leslie, D. Milton-Jones, B. Lennox, N. Quinn, C. Parker",LAS,18,86.5,105.7
"N. Sanford, A. Beard, L. Harding, B. Mosby, M. Coleman",WAS,18,81.8,87.2
"P. Taylor, N. Ohlde, C. Pondexter, K. Swanier, D. Bonner",PHO,18,97.6,111.4
"S. Bird, S. Cash, S. Batkovic-Brown, T. Wright, C. Little",SEA,18,72.1,52.4
"S. Christon, A. Battle, C. Kraayeveld, L. Mitchell, K. Vaughn",NYL,18,88.2,81.6
"T. Bevilaqua, T. Catchings, E. Hoffman, J. Moore, B. January",IND,18,82.1,68.4
"T. Dixon, J. Davenport, S. Murphy, B. January, C. Wirth",IND,18,92.1,102.6
"T. Penicheiro, D. Walker, H. Maiga-Ba, R. Brunson, S. Dorrell",SAC,18,90.2,80.5
"T. Penicheiro, N. Powell, R. Brunson, S. Dorrell, L. Harper",SAC,18,73.7,80.0
"D. Walker, H. Maiga-Ba, K. Lawson, C. Newton, L. Harper",SAC,17,73.7,117.9
"K. Miller, A. Montanana, T. Humphrey, Q. Hollingsworth, R. McCants",MIN,17,113.9,105.9
"L. Jackson, S. Bird, T. Wright, K. Gearlds, C. Little",SEA,17,105.6,81.8
"L. Leslie, T. Thompson, K. Harrower, B. Lennox, N. Quinn",LAS,17,109.4,106.1
"L. Leslie, T. Thompson, N. Quinn, C. Parker, S. Bobbitt",LAS,17,92.9,67.7
"N. Ohlde, D. Taurasi, C. Pondexter, K. Swanier, D. Bonner",PHO,17,88.2,70.3
"N. Sanford, M. Currie, L. Harding, C. Langhorne, M. Coleman",WAS,17,91.7,120.0
"S. Christon, L. Moore, A. Battle, C. Kraayeveld, T. Jackson-Jones",NYL,17,84.6,135.9
"T. Dixon, K. Douglas, E. Hoffman, J. Moore, B. January",IND,17,62.2,78.4
