,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
81,KHAALIA HILLSMAN,CHI,27,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,2023
82,KIA NURSE,SEA,28,0.5,0.7,69.0,0.2,0.7,24.1,0.1,0.8,9.4,0.0,0.2,11.1,0.1,0.3,42.9,1.2,3.2,36.2,2023
83,KIAH STOKES,LVA,31,0.5,0.8,59.4,0.3,0.6,50.0,0.0,0.1,50.0,0.1,0.3,18.2,0.0,0.2,0.0,0.1,0.3,30.0,2023
84,KIERSTAN BELL,LVA,24,0.4,0.9,45.2,0.3,0.6,45.5,0.3,0.5,50.0,0.1,0.3,44.4,0.1,0.5,18.2,0.4,1.7,22.6,2023
85,KRISTI TOLIVER,WAS,37,0.1,0.1,100,0.0,0.1,0.0,0.2,0.8,22.2,0.2,0.7,33.3,0.3,0.5,66.7,0.5,1.7,31.6,2023
86,KRISTINE ANIGWE,CON,27,0.8,1.2,66.7,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2023
87,KRISTY WALLACE,IND,28,0.5,1.1,46.3,0.3,0.8,32.3,0.7,2.0,36.0,0.1,0.4,41.7,0.1,0.3,50.0,0.7,1.7,42.9,2023
88,LAETICIA AMIHERE,ATL,22,0.7,1.5,46.7,0.2,0.4,37.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2023
89,LAUREN COX,CON,26,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,2023
90,LAYSHIA CLARENDON,LAS,33,1.9,2.9,66.7,0.9,2.3,38.9,0.3,1.0,33.3,0.1,0.1,100,0.3,0.5,70.0,0.5,1.4,35.3,2023
91,LEIGHA BROWN,CON,23,0.2,0.3,66.7,0.1,0.2,33.3,0.1,0.4,28.6,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5,11.1,2023
92,LEXIE BROWN,LAS,29,1.3,1.8,76.2,0.3,0.6,42.9,0.7,1.5,44.4,0.0,0.1,0.0,0.1,0.1,100,2.2,5.3,41.3,2023
93,LEXIE HULL,IND,24,1.0,1.7,58.0,0.2,0.8,29.2,0.2,0.4,45.5,0.0,0.4,8.3,0.2,0.4,40.0,0.3,1.2,21.6,2023
94,LI MENG,WAS,29,0.2,0.4,50.0,0.1,0.3,44.4,0.2,0.7,36.4,0.1,0.2,33.3,0.2,0.3,71.4,1.1,3.1,34.6,2023
95,LINDSAY ALLEN,MIN,29,1.1,1.7,64.6,0.6,1.6,34.8,0.4,1.3,31.4,0.0,0.1,33.3,0.0,0.0,0.0,0.2,1.0,20.0,2023
96,LINNAE HARPER,WAS,29,0.0,0.1,0.0,0.1,0.2,33.3,0.2,0.8,27.3,0.0,0.0,0.0,0.3,0.5,50.0,0.2,0.7,33.3,2023
97,LIZ DIXON,PHO,23,0.4,0.5,71.4,0.4,0.6,55.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
98,LORELA CUBAJ,ATL,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
99,MADDY SIEGRIST,DAL,24,0.8,1.2,67.4,0.5,1.0,52.6,0.1,0.4,18.8,0.1,0.1,100,0.0,0.1,0.0,0.1,0.3,30.8,2023
100,MADI WILLIAMS,PHO,24,0.6,1.4,42.9,0.2,0.6,33.3,0.2,0.4,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2023
101,MARINA MABREY,CHI,27,1.1,1.9,57.3,0.8,2.0,39.7,1.0,2.8,35.5,0.2,0.4,53.3,0.1,0.2,50.0,2.0,5.3,37.7,2023
